Stock,FC Est. Ann. Net Income Surprise %,LTP,Market Cap,PE TTM,PBV,PEG TTM,Net Profit QoQ Growth %,Revenue QoQ Growth %,Latest Financial Result
Antony Waste Handling,38.12%,490.2,"1,391.3",15.96,2.31,0.64,-23.23%,4.17%,"30 Sep, 2025"
Suzlon Energy,43.44%,57.68,"79,089.3",24.93,12.93,0.11,294.5%,23.6%,"30 Sep, 2025"
Welspun Corp,45.19%,918.5,"24,212.3",11.19,4.01,0.11,25.47%,23.15%,"30 Sep, 2025"
Dalmia Bharat Sugar,51.9%,316.8,"2,564.2",7.58,0.79,0.47,-39.22%,4.86%,"30 Sep, 2025"
Tata Communications,53.01%,1874,"53,409",32.38,30.04,0.41,-3.64%,2.35%,"30 Sep, 2025"
GMR Airports,53.25%,95.67,"1,01,017.7",-460.26,-59.47,-6.18,82.47%,14.5%,"30 Sep, 2025"
Bodal Chemicals,54.17%,57.67,726.3,20.49,0.67,0.01,-37.13%,5.78%,"30 Sep, 2025"
Birla Corporation,58.61%,1176.6,"9,060.4",18.2,1.29,0.3,-24.33%,-10.09%,"30 Sep, 2025"
Gateway Distriparks,59.3%,60.58,"3,026.8",7.77,1.53,0.11,11.15%,3.07%,"30 Sep, 2025"
Control Print,66.62%,742.4,"1,187.4",11.63,3.34,0.12,117.02%,0.61%,"30 Sep, 2025"
India Cements,69.16%,392.85,"12,174.3",944.49,2.31,9.1,106.63%,9.01%,"30 Sep, 2025"
ITC,75.15%,408.15,"5,11,323.7",14.6,7.3,0.21,-2.25%,-9.27%,"30 Sep, 2025"
Tube Investments,79.34%,3067.6,"59,360.8",94.88,11.13,-2.08,-6.14%,4.02%,"30 Sep, 2025"
Centum Electronics,80.89%,2446.2,"3,604.8",329.65,18.2,0.85,-5.47%,6.3%,"30 Sep, 2025"
BlackBuck,96.98%,699,"12,650.6",42.88,30.6,0.23,-13.36%,5.24%,"30 Sep, 2025"
EFC I,134.07%,303.1,"3,017.5",20.42,6.3,0.3,29.68%,15.92%,"30 Sep, 2025"
Spicejet,152.55%,35.48,"4,547.4",-9.23,-1,2,-165.68%,-29.26%,"30 Sep, 2025"
Mangalore Refinery,156.2%,171.83,"30,114.9",29.05,2.32,2.03,331.79%,30.49%,"30 Sep, 2025"
Huhtamaki,204.39%,236.65,"1,787.2",17.95,1.52,-0.24,47.43%,2.04%,"30 Sep, 2025"
Max Estates,204.55%,465.55,"7,552.7",135.35,3.43,0.02,-36.54%,-5.25%,"30 Sep, 2025"
Prism Johnson,216.52%,145.45,"7,321.3",40.06,5.65,0.16,10.63%,-3.47%,"30 Sep, 2025"
Nuvoco Vistas,221.6%,368.8,"13,171.9",48.11,1.46,0.11,-72.64%,-14.45%,"30 Sep, 2025"
Indian Hume Pipe Company,628.52%,382.35,"2,014.3",3.53,1.46,0.01,58.27%,18.66%,"30 Sep, 2025"
Strides Pharma,987.28%,943.55,"8,697",21.89,3.83,0.3,28.04%,9.03%,"30 Sep, 2025"
Aster DM Healthcare,"1,465.28%",678.1,"35,133.8",106.04,10.17,-1.13,28.62%,11.07%,"30 Sep, 2025"
