Stock,FC Est. Ann. Revenue Surprise %,LTP,Market Cap,PE TTM,PBV,PEG TTM,Net Profit QoQ Growth %,Revenue QoQ Growth %,Latest Financial Result
GMR Power & Urban Infra,7.64%,120.41,"8,607.3",10.52,10.88,-0.2,"11,489.62%",9.82%,"30 Sep, 2025"
Antony Waste Handling,7.76%,490.2,"1,391.3",15.96,2.31,0.64,-23.23%,4.17%,"30 Sep, 2025"
Arvind SmartSpaces,7.83%,607.4,"2,786",30.2,5.29,0.87,26.79%,38.08%,"30 Sep, 2025"
Bharat Dynamics,8.23%,1613.8,"59,155.9",90.43,14.76,4.98,"1,076.49%",362.64%,"30 Sep, 2025"
PG Electroplast,8.38%,578.1,"16,438.3",64.59,5.81,1.97,-95.88%,-56.42%,"30 Sep, 2025"
Sharda Cropchem,8.55%,772.45,"6,969.1",15.42,2.79,0.14,-47.95%,-5.66%,"30 Sep, 2025"
Zaggle Prepaid Ocean,8.65%,392.35,"5,275.2",47.11,8.5,0.83,33.99%,30.2%,"30 Sep, 2025"
Lumax Auto Tech,8.77%,1430.4,"9,749.3",46.1,10.43,1.27,61.41%,12.66%,"30 Sep, 2025"
Indian Renewable,8.94%,149.61,"42,028.9",24.39,4.05,-,122.51%,5.63%,"30 Sep, 2025"
Godrej Properties,9.07%,2195.8,"66,138.9",42.67,3.82,3.68,-32.5%,70.37%,"30 Sep, 2025"
DLF,9.85%,764.85,"1,89,324.2",44.2,4.71,2.34,54.73%,-39.52%,"30 Sep, 2025"
Godfrey Phillips,9.87%,2957.3,"46,128.5",36.71,8.79,0.94,-14.39%,-13.27%,"30 Sep, 2025"
Paradeep Phosphates,11.14%,162.71,"13,266.7",14.47,3.53,0.1,33.65%,83.06%,"30 Sep, 2025"
Ratnaveer Precision,11.42%,153.45,814,15.53,2.38,0.48,3.26%,8.03%,"30 Sep, 2025"
Skipper,11.74%,500.3,"5,265",31.66,5.48,0.64,-18.18%,0.63%,"30 Sep, 2025"
Data Patterns,15.14%,3100.7,"17,359",74.36,12.86,2.85,92.9%,209.53%,"30 Sep, 2025"
Sudarshan Chemical,17.73%,1035.8,"8,142.1",147.19,6.71,-2.53,-75.21%,-4.77%,"30 Sep, 2025"
Aditya Birla Capital,18.72%,331.4,"86,585.6",26.54,2.85,-2.08,2.41%,11.49%,"30 Sep, 2025"
VST Industries,21.52%,255.9,"4,346.8",14.27,3.29,0.56,5.49%,12.83%,"30 Sep, 2025"
Cholamandalam Fin,27.21%,1976.5,"37,114.2",16.66,2.97,1.97,-4.94%,1.78%,"30 Sep, 2025"
Muthoot Microfin,49.38%,170.59,"2,908.4",-8.06,1.1,0.04,393.53%,3.17%,"30 Sep, 2025"
Sobha,57.03%,1573.8,"15,879.6",106.8,4.53,0.61,432.58%,65.23%,"30 Sep, 2025"
Muthoot Finance,61.85%,3725.6,"1,49,571.1",20.48,5.62,0.36,20.06%,12.91%,"30 Sep, 2025"
Hubtown,97.33%,328.8,"4,672.3",36.57,2.04,0.12,-69.65%,11.26%,"30 Sep, 2025"
Embassy Developments,370.83%,84.22,"11,636.5",-69.69,2.47,-1.35,7.86%,-27.58%,"30 Sep, 2025"
