Stock,FC Est. Qtr EPS Surprise %,LTP,Market Cap,PE TTM,PBV,PEG TTM,Net Profit QoQ Growth %,Revenue QoQ Growth %,Latest Financial Result
Birla Corporation,58.14%,1184.5,"9,121.3",18.32,1.3,0.3,-24.33%,-10.09%,"30 Sep, 2025"
Century Textiles,61.21%,1750,"19,546.8",-91.85,4.83,0.29,38.2%,-32.78%,"30 Sep, 2025"
Indoco Remedies,68.33%,264.65,"2,441.3",-22.09,2.24,0.05,77.84%,10.68%,"30 Sep, 2025"
One Mobikwik Systems,70.28%,258.5,"2,033.3",-11.18,12.57,0,31.74%,-0.42%,"30 Sep, 2025"
SAIL,72.16%,141.4,"58,405.6",22.85,1.01,20.15,-43.76%,3.02%,"30 Sep, 2025"
India Cements,72.5%,394.45,"12,223.9",948.33,2.32,9.14,106.63%,9.01%,"30 Sep, 2025"
Bank of India,74.22%,147.98,"67,370.4",6.99,0.93,0.3,40.84%,0.3%,"30 Sep, 2025"
Cyient DLM,76.09%,438.45,"3,479.7",40.36,3.71,1.43,330.72%,11.57%,"30 Sep, 2025"
TARC,77.92%,141.55,"4,177.1",-44.1,4.01,-0.91,-129.05%,-90.95%,"30 Sep, 2025"
Sobha,83.24%,1604.6,"16,190.4",108.89,4.62,0.63,432.58%,65.23%,"30 Sep, 2025"
Wonderla Holidays,84.12%,536.7,"3,403.3",41.43,2.91,-1.02,-103.32%,-52.36%,"30 Sep, 2025"
GMM Pfaudler,88.16%,1193.9,"5,367.4",79.98,5.21,-2.2,271.57%,13.57%,"30 Sep, 2025"
Ventive Hospitality,104.55%,748.55,"17,481.8",73.84,3.64,0.39,95.18%,-3.57%,"30 Sep, 2025"
PG Electroplast,122.5%,577.2,"16,412.8",64.49,5.8,1.97,-95.88%,-56.42%,"30 Sep, 2025"
Greenlam Industries,127.27%,265.5,"6,774.2",213.29,6.09,-2.89,310.48%,19.96%,"30 Sep, 2025"
Nilkamal,131.86%,1485.2,"2,216.3",21.22,1.49,-2.19,120.28%,9.58%,"30 Sep, 2025"
Prataap Snacks,141.43%,1064.4,"2,543.9",-57.12,3.42,0.27,571.01%,5.08%,"30 Sep, 2025"
Dixon Technologies,168.97%,15602,"94,413.5",64.36,42.36,0.61,197.82%,15.73%,"30 Sep, 2025"
Senco Gold,198%,330.05,"5,403.5",21.67,2.74,1,-53.39%,-15.89%,"30 Sep, 2025"
Welspun Living,208.33%,136.65,"13,106.8",37.11,2.72,-0.74,-85.17%,7.98%,"30 Sep, 2025"
Ambuja Cements,260.99%,561.05,"1,38,193.5",24.57,2.74,0.28,124.11%,-10.83%,"30 Sep, 2025"
Max Estates,340%,462,"7,495.1",134.32,3.4,0.02,-36.54%,-5.25%,"30 Sep, 2025"
Ramco Systems,581.43%,616.5,"2,305",265.68,7.41,2.39,"1,238.26%",8.96%,"30 Sep, 2025"
Balrampur Chini,653.33%,464.55,"9,381.6",23.16,2.64,-3.71,4.5%,8.33%,"30 Sep, 2025"
Nazara Technologies,"8,944.44%",269.9,"9,998.9",162.79,3.49,-10.27,-154.9%,5.55%,"30 Sep, 2025"
