Stock,FC Est. Qtr Revenue Surprise %,LTP,Market Cap,PE TTM,PBV,PEG TTM,Net Profit QoQ Growth %,Revenue QoQ Growth %,Latest Financial Result
Interarch Building Solutions,26.6%,2584.5,"4,334.7",33.99,6.41,0.9,13.75%,28.97%,"30 Sep, 2025"
Lodha Developers,27.06%,1209.5,"1,20,779.6",36.28,6.64,0.59,16.9%,8.79%,"30 Sep, 2025"
Suzlon Energy,27.38%,57.68,"79,089.3",24.93,12.93,0.11,294.5%,23.6%,"30 Sep, 2025"
Lloyds Metals & Energy,27.91%,1287.3,"68,034.1",37.69,11.76,1.64,-10.79%,53.19%,"30 Sep, 2025"
Ajax Engineering,28.48%,626.1,"7,163",28.54,7.19,8.91,-26.12%,-4.65%,"30 Sep, 2025"
Sobha,29.8%,1573.8,"15,879.6",106.8,4.53,0.61,432.58%,65.23%,"30 Sep, 2025"
Sonata Software,29.86%,374.15,"10,492.1",23.73,6.99,0.4,9.92%,-28.53%,"30 Sep, 2025"
Techno Electric,30.99%,1227.4,"14,274.6",30.32,4.08,1.01,-23.61%,60.35%,"30 Sep, 2025"
Godfrey Phillips,32.97%,2957.3,"46,128.5",36.71,8.79,0.94,-14.39%,-13.27%,"30 Sep, 2025"
Triveni Engineering,35.99%,365.1,"7,992",30.57,2.57,-1.93,487.3%,6.75%,"30 Sep, 2025"
Kaveri Seed Company,36.34%,1070.3,"5,505.5",18.16,3.56,19.41,-104.73%,-74.5%,"30 Sep, 2025"
IRM Energy,40.89%,316,"1,297.5",31.67,1.37,-0.89,-9.8%,-1.16%,"30 Sep, 2025"
Genus Power,45.3%,331.4,"10,078.3",21.9,5.39,0.1,4.12%,21.92%,"30 Sep, 2025"
Eternal,45.41%,303.75,"2,93,129.4","1,559.21",9.65,-20.88,160%,89.62%,"30 Sep, 2025"
Yatra Online,52.14%,187.55,"2,943",53.03,3.88,0.25,-10.76%,67.23%,"30 Sep, 2025"
Infibeam Avenues,57.53%,19.07,"6,000.2",25.08,1.47,1.51,8.6%,53.48%,"30 Sep, 2025"
ICICI Prudential,61.38%,629.45,"91,078.2",69.68,7.63,1.42,-1.71%,-53.01%,"30 Sep, 2025"
Paradeep Phosphates,61.9%,162.71,"13,266.7",14.47,3.53,0.1,33.65%,83.06%,"30 Sep, 2025"
Bharat Dynamics,65.74%,1613.8,"59,155.9",90.43,14.76,4.98,"1,076.49%",362.64%,"30 Sep, 2025"
Anupam Rasayan,73.51%,1073.2,"12,218.2",80.81,4.38,0.69,30.43%,50.55%,"30 Sep, 2025"
Motilal Oswal,96.71%,991.3,"59,528.5",29.41,5.57,-0.73,-68.81%,-32.44%,"30 Sep, 2025"
ideaForge Technology,100.79%,464.65,"2,009.6",-21.63,3.08,0.03,16.71%,218.94%,"30 Sep, 2025"
Embassy Developments,256.48%,84.22,"11,636.5",-69.69,2.47,-1.35,7.86%,-27.58%,"30 Sep, 2025"
Max Financial,655.65%,1673.4,"57,751.5",358.46,10.95,-6.74,-94.08%,-23.63%,"30 Sep, 2025"
Fino Payments Bank,995.38%,282,"2,346.8",29.25,3.4,-2.07,-13.57%,-1.44%,"30 Sep, 2025"
