Stock,FC Est. No of bearish Est.,LTP,Market Cap,PE TTM,PBV,PEG TTM,Net Profit QoQ Growth %,Revenue QoQ Growth %,Latest Financial Result
Bajaj Auto,8,9010,"2,51,611.1",30.21,7.15,2.32,-4%,19.81%,"30 Sep, 2025"
FSN E-Commerce,9,267.07,"76,424.8",733.79,58.56,5.12,47.64%,8.87%,"30 Sep, 2025"
Avenue Supermarts,9,4041,"2,62,961.3",96.23,13.06,57.04,-11.38%,1.94%,"30 Sep, 2025"
L&T Technology,9,4102,"43,475.8",34.02,7.15,-13.76,4.12%,3.96%,"30 Sep, 2025"
YES Bank,9,23.18,"72,728.2",25.64,1.52,0.44,-17.85%,-2.84%,"30 Sep, 2025"
Shree Cements,9,26685,"96,281.4",56.01,4.47,-75.02,-51.99%,-9.84%,"30 Sep, 2025"
Aditya Birla Fashion,9,78.22,"9,546.9",-17.57,1.4,-1.03,-24.22%,8.2%,"30 Sep, 2025"
Persistent Systems,9,6109.5,"95,552.6",57.38,15.12,1.64,10.95%,7.41%,"30 Sep, 2025"
SBI Cards and Payment,10,879.2,"83,660.1",43.62,6.39,-3.3,-20%,1.72%,"30 Sep, 2025"
SAIL,10,141.4,"58,405.6",22.85,1.01,20.15,-43.76%,3.02%,"30 Sep, 2025"
The Ramco Cements,10,997.7,"23,574.9",63.35,3.26,1.83,-9.04%,7.94%,"30 Sep, 2025"
Nestle,10,1267.6,"2,44,433.1",82.82,60.95,-3.22,14.94%,10.74%,"30 Sep, 2025"
Gujarat Gas,10,411,"28,292.8",25.34,3.55,-2.08,-14.6%,-2.34%,"30 Sep, 2025"
Bharat Forge,10,1385.5,"66,239.2",61.47,7.16,4.45,5.47%,3.15%,"30 Sep, 2025"
Vodafone Idea,11,10.94,"1,18,527.3",-4.57,-2.09,-0.55,16.4%,1.56%,"30 Sep, 2025"
Bata,11,1016.9,"13,070",76.65,8.9,-1.5,-73.28%,-14.92%,"30 Sep, 2025"
Tata Technologies,12,681.7,"27,657.4",39.89,8.6,5.56,-2.81%,6.35%,"30 Sep, 2025"
Tech Mahindra,12,1446.4,"1,41,698.1",31.59,5.35,0.85,4.73%,4.82%,"30 Sep, 2025"
Divi's Laboratories,12,6517,"1,73,005.9",69.62,11.56,1.97,26.42%,12.66%,"30 Sep, 2025"
Colgate-Palmolive,12,2181.6,"59,336.4",44.75,35.65,-4.6,2.15%,5.96%,"30 Sep, 2025"
Tata Elxsi,14,5254.5,"32,732.3",48.81,13.16,-2.73,7.24%,2.92%,"30 Sep, 2025"
Wipro,15,243.45,"2,55,240.7",18.91,3.1,1.26,-2.53%,2.54%,"30 Sep, 2025"
Dr. Reddy's Labs,15,1246,"1,03,992.9",18.02,3.1,2.22,-5.01%,2.99%,"30 Sep, 2025"
Asian Paints,15,2899.9,"2,78,157.8",71.4,14.34,-4.85,-9.65%,-4.56%,"30 Sep, 2025"
IndusInd Bank,21,852,"66,377.3",-87.41,1.01,0.8,-172.32%,-5.34%,"30 Sep, 2025"
