Stock,FC Est. No of bullish Est.,LTP,Market Cap,PE TTM,PBV,PEG TTM,Net Profit QoQ Growth %,Revenue QoQ Growth %,Latest Financial Result
Larsen & Toubro,26,4004.4,"5,63,269.8",34.35,5.77,1.62,8.54%,6.76%,"30 Sep, 2025"
Crompton Greaves,27,276.15,"17,781.7",37.61,5.72,-6.68,-41.8%,-4.14%,"30 Sep, 2025"
Shriram Finance,27,809.3,"1,52,252",15.43,2.91,0.68,7.17%,3.26%,"30 Sep, 2025"
Titan Company,28,3829.2,"3,39,951.1",82.33,34.92,3.01,2.66%,13.33%,"30 Sep, 2025"
Bank of Baroda,28,286.75,"1,48,288.8",7.71,1.01,-2.01,47.98%,1.38%,"30 Sep, 2025"
Marico,29,738.7,"95,878.5",57.55,20.59,11.72,-16.67%,6.84%,"30 Sep, 2025"
Hindustan Unilever,29,2427.7,"5,70,410.3",52.38,11.55,8.66,-2.58%,-1.65%,"30 Sep, 2025"
Bharti Airtel,29,2100.7,"12,18,443.2",31.61,13.99,0.15,14.19%,5.42%,"30 Sep, 2025"
Ashok Leyland,29,148.26,"87,085.8",26.72,7.12,1.11,23.68%,7.42%,"30 Sep, 2025"
HDFC Life Insurance,30,773.7,"1,66,875.2",88.14,10.33,7.46,-18.25%,-29.91%,"30 Sep, 2025"
SBI Life Insurance,31,2000.9,"2,00,603.8",81.77,12.34,6.56,-16.79%,-40.72%,"30 Sep, 2025"
Maruti Suzuki,31,15684,"4,93,109",33.36,5.53,6.17,-11.69%,9.69%,"30 Sep, 2025"
Infosys,31,1502.8,"6,24,323.4",22.2,6.52,5.09,6.4%,5.23%,"30 Sep, 2025"
Godrej Consumer Products,31,1146.5,"1,17,298.7",64.38,9.64,0.11,1.52%,4.46%,"30 Sep, 2025"
TCS,32,3106,"11,23,778",22.73,11.86,5.4,-5.37%,3.72%,"30 Sep, 2025"
Sun Pharmaceutical,32,1757.1,"4,21,587.2",40.34,5.84,-7.38,36.83%,4.53%,"30 Sep, 2025"
Axis Bank,32,1241.6,"3,85,332.5",14.83,2.07,-2.14,-11.47%,-0.12%,"30 Sep, 2025"
Ambuja Cements,32,563.2,"1,38,723.1",24.66,2.75,0.28,124.11%,-10.83%,"30 Sep, 2025"
SBI,33,967.85,"8,93,385.3",11.06,1.94,0.86,-0.3%,1.84%,"30 Sep, 2025"
Reliance Industries,33,1518.9,"20,55,447.3",24.73,2.51,1.11,-32.71%,4.51%,"30 Sep, 2025"
ITC,33,408.15,"5,11,323.7",14.6,7.3,0.21,-2.25%,-9.27%,"30 Sep, 2025"
UltraTech Cement,34,11874,"3,49,902.1",47.25,4.95,3.62,-44.67%,-7.84%,"30 Sep, 2025"
Mahindra & Mahindra,35,3698.6,"4,59,931.6",32.32,6.52,1.62,-10.04%,1.27%,"30 Sep, 2025"
ICICI Bank,36,1373,"9,81,160.5",18.41,3.15,1.83,-1.48%,-1.83%,"30 Sep, 2025"
HDFC Bank,36,989.6,"15,21,677.6",21.03,2.94,4.58,20.62%,-0.43%,"30 Sep, 2025"
