Stock,FC Est. 3M Analysts Upgrade,LTP,Market Cap,PE TTM,PBV,PEG TTM,Net Profit QoQ Growth %,Revenue QoQ Growth %,Latest Financial Result
Hindware Home Innovation,1,358.4,"2,997.9",-41.12,3.54,0.09,116.9%,27.33%,"30 Sep, 2025"
Neogen Chemicals,1,1217.2,"3,211.2",123.27,4.07,-3.47,-67.15%,11.74%,"30 Sep, 2025"
Embassy Office Parks REIT,1,415.71,"39,404.9",24.26,1.64,0.35,-253.53%,6.31%,"31 Mar, 2025"
Chalet Hotels,1,884.05,"19,332.9",33.43,6.87,0.05,-23.78%,-17.8%,"30 Sep, 2025"
Prataap Snacks,1,1064.3,"2,543.7",-57.11,3.42,0.27,571.01%,5.08%,"30 Sep, 2025"
Rajratan Global Wire,1,473.25,"2,402.7",41.01,4.45,-1.95,52%,19.33%,"30 Sep, 2025"
Ugro Capital,1,171.95,"2,007.6",12.91,0.83,0.69,26.9%,10%,"30 Sep, 2025"
Garware Hi-Tech,1,3760.9,"8,737.5",27.93,3.92,13.04,9.89%,15.09%,"30 Sep, 2025"
PDS,1,389.2,"5,501.9",50.86,3.44,-1.76,131.09%,13.99%,"30 Sep, 2025"
Transformers & Rectifiers,1,318.2,"9,551.3",38.18,8.66,0.36,-49.65%,-13.09%,"30 Sep, 2025"
Steel Strips Wheels,1,207.23,"3,257.3",17.04,2.13,-0.24,-24.82%,1.16%,"30 Sep, 2025"
South Ind Bank,1,38,"9,944.1",7.32,1.06,0.6,9.13%,1.89%,"30 Sep, 2025"
Ramkrishna Forgings,1,552.7,"9,994.4",33.12,3.4,-1,-180.57%,-10.61%,"30 Sep, 2025"
PCBL,1,339.4,"13,354.1",38.29,3.5,-1.26,-34.57%,2.34%,"30 Sep, 2025"
Aditya Birla Fashion,1,78.44,"9,573.8",-17.62,1.41,-1.04,-24.22%,8.2%,"30 Sep, 2025"
NRB Bearings,1,287.1,"2,782.7",30.26,2.99,-0.47,26.61%,4.89%,"30 Sep, 2025"
Kansai Nerolac,1,248.8,"20,115.8",17.57,3.13,0.21,-38.92%,-9.61%,"30 Sep, 2025"
Jamna Auto,1,109.1,"4,352.9",24.23,4.65,-2.92,-13.13%,-7.4%,"30 Sep, 2025"
Escorts Kubota,1,3551.1,"39,728.9",16.87,3.83,0.16,-77.23%,11.66%,"30 Sep, 2025"
Ador Welding,1,1074.4,"1,869.8",34.27,3.69,-,733.16%,11.61%,"30 Sep, 2025"
LE Travenues Tech,2,277.1,"10,818.1",224.68,18.19,-7.97,-116.65%,-10.09%,"30 Sep, 2025"
Brookfield Real Estate,2,337.99,"20,541.4",111.18,1.28,0.02,115.83%,3.09%,"31 Mar, 2025"
JK Tyre & Industries,2,460,"12,604.9",23.55,2.68,-0.86,33.9%,3.68%,"30 Sep, 2025"
Bajaj Consumer Care,3,270.35,"3,705.2",27.14,5.35,-8.71,11.5%,-0.53%,"30 Sep, 2025"
Hindalco Industries,5,803.65,"1,80,598.4",10.17,1.57,0.24,18.41%,2.84%,"30 Sep, 2025"
