Stock,FC Est. 1Y fwd Dividend Yield %,LTP,Market Cap,PE TTM,PBV,PEG TTM,Net Profit QoQ Growth %,Revenue QoQ Growth %,Latest Financial Result
Gulf Oil Lubricants,4.24%,1208.5,"5,960.3",16.04,4.08,1.52,-10.77%,-4.89%,"30 Sep, 2025"
Oracle Fin Serv,4.26%,8223.5,"71,549.1",30.15,8.56,-6.16,-14.92%,-3.42%,"30 Sep, 2025"
NMDC,4.49%,76.55,"67,301.4",9.58,2.37,0.61,-13.66%,-5.35%,"30 Sep, 2025"
Rites,4.51%,246.32,"11,838.2",28.2,4.58,5.23,22.61%,12.05%,"30 Sep, 2025"
Hindustan Zinc,4.52%,487.05,"2,05,794.2",19.48,15.44,0.93,18.58%,10.01%,"30 Sep, 2025"
Power Finance,4.55%,374.6,"1,23,621.8",4.99,1.12,0.3,-16.36%,1.23%,"30 Sep, 2025"
VST Industries,4.69%,255.9,"4,346.8",14.27,3.29,0.56,5.49%,12.83%,"30 Sep, 2025"
Hindustan Petroleum,4.76%,481.25,"1,02,401.5",7.35,2.23,0.03,-6.12%,-9%,"30 Sep, 2025"
ONGC,4.85%,247.6,"3,11,487.7",8.53,0.88,-0.84,10%,-3.19%,"30 Sep, 2025"
Ador Welding,4.94%,1074.4,"1,869.8",34.27,3.69,-,733.16%,11.61%,"30 Sep, 2025"
Allcargo Logistics,4.97%,13.09,"1,286.5",-18.45,0.5,0.06,-693.65%,-3.43%,"30 Jun, 2025"
DB Corp,5.01%,259.7,"4,629",13.42,2.08,-0.59,15.6%,9.82%,"30 Sep, 2025"
Nexus Select Trust,5.19%,162.82,"24,667.2",53.3,1.65,-1.89,4.64%,5.73%,"30 Jun, 2025"
Quess Corp,5.19%,211.84,"3,160",36.11,1.08,-0.48,1.35%,4.93%,"30 Sep, 2025"
Gujarat State Fertilizer,5.2%,192.45,"7,668.7",11.48,0.63,0.43,133.9%,45.91%,"30 Sep, 2025"
Mindspace REIT,5.26%,460.38,"28,045.6",55.57,1.95,-13.88,80.43%,5.84%,"30 Jun, 2025"
Castrol,5.28%,192.5,"19,040.6",19.5,8.36,2.22,-6.64%,-8.96%,"30 Sep, 2025"
REC,5.47%,358.05,"94,282.6",5.46,1.28,0.34,-1.14%,2.82%,"30 Sep, 2025"
Embassy Office Parks REIT,6.17%,415.71,"39,404.9",24.26,1.64,0.35,-253.53%,6.31%,"31 Mar, 2025"
Brookfield Real Estate,6.26%,337.99,"20,541.4",111.18,1.28,0.02,115.83%,3.09%,"31 Mar, 2025"
Vedanta,6.33%,525.35,"2,05,432.2",17.1,5.48,2.88,-43.55%,5.4%,"30 Sep, 2025"
Coal India,6.55%,386.95,"2,38,466.8",7.64,2.41,-0.57,-50.2%,-15.78%,"30 Sep, 2025"
Akzo Nobel,6.7%,3359.3,"15,298.4",7.68,10.73,0.02,"1,749.23%",-16.1%,"30 Sep, 2025"
Jagran Prakashan,8.59%,69.84,"1,520.1",8.8,0.78,-1.95,-12.79%,1.59%,"30 Sep, 2025"
Signatureglobal,9.66%,1112.4,"15,630.4",200.99,24.55,4.63,-236.15%,-60.9%,"30 Sep, 2025"
