Stock,FC Est. 12Mth Upside %,LTP,Market Cap,PE TTM,PBV,PEG TTM,Net Profit QoQ Growth %,Revenue QoQ Growth %,Latest Financial Result
Patel Engineering,72.7%,35.9,"3,031.3",11.08,0.83,-0.59,-9.78%,-2.02%,"30 Sep, 2025"
GRP,76.91%,1967.7,"1,049.4",38.11,6.28,1.86,12.07%,6.96%,"30 Sep, 2025"
Aurum Proptech,85.33%,167.27,924.1,-29.07,3.25,-1.14,9.23%,20.61%,"30 Sep, 2025"
Bodal Chemicals,85.54%,57.67,726.3,20.49,0.67,0.01,-37.13%,5.78%,"30 Sep, 2025"
Cohance Lifesciences,87.56%,615.5,"23,547",95.01,13.78,48.69,51.55%,1.14%,"30 Sep, 2025"
Ratnaveer Precision,88.99%,153.45,814,15.53,2.38,0.48,3.26%,8.03%,"30 Sep, 2025"
Bombay Burmah Trading,91.18%,1830.7,"12,773.1",11.3,2.5,-2.12,0.41%,4.9%,"30 Sep, 2025"
Allcargo Gati,92.28%,66.05,971.4,54.45,1.22,3.5,-69.3%,-7.3%,"30 Jun, 2025"
AGI Greenpac,93.18%,786.85,"5,090.7",14.46,2.43,-,-14.49%,-12.52%,"30 Sep, 2025"
Utkarsh Small Finance,96.32%,16.3,"2,900.6",-3.85,0.74,0.01,-45.51%,-4.65%,"30 Sep, 2025"
Embassy Developments,97.1%,84.22,"11,636.5",-69.69,2.47,-1.35,7.86%,-27.58%,"30 Sep, 2025"
Jai Balaji,98.86%,85.99,"7,844.5",26.78,3.69,-0.4,-62.47%,-0.28%,"30 Sep, 2025"
Ganesha Ecosphere,111.12%,972.2,"2,605.1",40.89,2.38,-1.69,-104.65%,7.79%,"30 Sep, 2025"
ISGEC Heavy Engg,111.85%,889.8,"6,542.7",34.92,2.39,-0.98,-15.89%,26.11%,"30 Sep, 2025"
Sterling Tools,111.87%,298.3,"1,079.4",22.22,2.25,-0.85,91.19%,8.24%,"30 Sep, 2025"
TARC,112.66%,141.07,"4,162.9",-43.95,3.99,-0.91,-129.05%,-90.95%,"30 Sep, 2025"
OCCL,114.15%,106,529.5,14.8,1.34,0.04,-33.84%,-2.8%,"30 Sep, 2025"
S H Kelkar & Company,118.04%,169.69,"2,348.9",15.17,1.85,0.02,-64.1%,-4.61%,"30 Sep, 2025"
Paisalo Digital,118.34%,34.35,"3,124.2",15.06,2.2,1.21,9.27%,2.43%,"30 Sep, 2025"
Gujarat Industries,126.56%,169.93,"2,637.6",14.05,0.75,-1.1,-62.94%,-13.49%,"30 Sep, 2025"
United Foodbrands,126.87%,189.83,742,-13.66,1.96,0.03,-35.41%,2.62%,"30 Sep, 2025"
SKF,143.69%,2045,"10,110.1",18.85,4.41,-4.4,-10.76%,2.02%,"30 Sep, 2025"
Tarsons Products,154.48%,239.7,"1,275.4",62.01,2.02,-1.53,86.32%,12%,"30 Sep, 2025"
Easy Trip Planners,164.15%,7.95,"2,817.5",159.9,4.66,-2,"-2,569.79%",4%,"30 Sep, 2025"
Allcargo Logistics,210.7%,13.09,"1,286.5",-18.45,0.5,0.06,-693.65%,-3.43%,"30 Jun, 2025"
