Stock,FC Est. 1Y fwd EPS Growth Ann. %,LTP,Market Cap,PE TTM,PBV,PEG TTM,Net Profit QoQ Growth %,Revenue QoQ Growth %,Latest Financial Result
Sobha,264.98%,1573.8,"15,879.6",106.8,4.53,0.61,432.58%,65.23%,"30 Sep, 2025"
Chennai Petroleum,298.28%,1029,"15,323",13.1,1.87,0.21,"1,893.49%",10.23%,"30 Sep, 2025"
The Ramco Cements,302.1%,980.3,"23,163.7",62.24,3.2,1.8,-9.04%,7.94%,"30 Sep, 2025"
Signatureglobal,309.41%,1112.4,"15,630.4",200.99,24.55,4.63,-236.15%,-60.9%,"30 Sep, 2025"
IIFL Finance,314.55%,547.3,"23,265.8",27.11,1.92,-1.98,61.27%,11.93%,"30 Sep, 2025"
Chalet Hotels,323.77%,884.05,"19,332.9",33.43,6.87,0.05,-23.78%,-17.8%,"30 Sep, 2025"
Landmark Cars,337.23%,561.7,"2,326.8",111.47,4.33,-3.21,-82.82%,14.05%,"30 Sep, 2025"
HEG,377.14%,515.9,"9,955.7",38.6,2.24,0.92,36.73%,13.34%,"30 Sep, 2025"
V-Mart Retail,401.47%,834.95,"6,632.8",57.74,8.19,0.19,-126.4%,-8.85%,"30 Sep, 2025"
GMR Power & Urban Infra,416.35%,120.41,"8,607.3",10.52,10.88,-0.2,"11,489.62%",9.82%,"30 Sep, 2025"
Arvind Fashions,502.34%,500.55,"6,686.9",-406.25,6.54,3.57,198.01%,28.01%,"30 Sep, 2025"
Allcargo Gati,511.94%,66.05,971.4,54.45,1.22,3.5,-69.3%,-7.3%,"30 Jun, 2025"
Ceat,589.48%,3986.4,"16,125",32.58,3.69,-2.59,65.36%,6.89%,"30 Sep, 2025"
Poonawalla Fincorp,671.65%,469.2,"38,124.3",174.99,4.66,-3.66,18.53%,17.38%,"30 Sep, 2025"
Tatva Chintan Pharma,725.82%,1489.4,"3,484",196.44,4.72,283.58,49.11%,5.69%,"30 Sep, 2025"
Devyani Intl,812.5%,138.07,"17,022.3",-509.2,14.57,2.5,-693.47%,1.46%,"30 Sep, 2025"
Apex Frozen Foods,867.74%,289.46,904.6,39.83,1.84,0.11,30.48%,-7.67%,"30 Sep, 2025"
Indostar Capital,950.94%,240.44,"3,287.1",5.3,0.98,0.01,-98.08%,3.8%,"30 Sep, 2025"
TVS Supply Chain,"1,132.26%",122.45,"5,402.3",95.45,2.91,1.05,-77.77%,2.71%,"30 Sep, 2025"
BlackBuck,"1,192.86%",699,"12,650.6",42.88,30.6,0.23,-13.36%,5.24%,"30 Sep, 2025"
Nuvoco Vistas,"2,029.51%",368.8,"13,171.9",48.11,1.46,0.11,-72.64%,-14.45%,"30 Sep, 2025"
Centum Electronics,"2,328.57%",2446.2,"3,604.8",329.65,18.2,0.85,-5.47%,6.3%,"30 Sep, 2025"
Mangalore Refinery,"2,796.55%",171.83,"30,114.9",29.05,2.32,2.03,331.79%,30.49%,"30 Sep, 2025"
Shalby,"6,177.78%",224.83,"2,428.4",542.29,2.41,-5.92,-6.03%,-3.71%,"30 Sep, 2025"
Solara Active Pharma,"23,114.29%",572.95,"2,548.9",397.64,2.33,3.93,-196.01%,-1.76%,"30 Sep, 2025"
