Stock,FC Est. Ann. EPS Surprise %,LTP,Market Cap,PE TTM,PBV,PEG TTM,Net Profit QoQ Growth %,Revenue QoQ Growth %,Latest Financial Result
Tejas Networks,-55%,523.65,"9,277.1",-22.79,2.41,0.12,-58.42%,29.63%,"30 Sep, 2025"
VIP Industries,-56.18%,388,"5,511.6",-28.12,8.94,0.09,-992.67%,-27.62%,"30 Sep, 2025"
HEG,-58%,511.2,"9,865",38.25,2.21,0.92,36.73%,13.34%,"30 Sep, 2025"
Raymond Lifestyle,-58.84%,1126.1,"6,860.6",91.98,0.72,-1.12,479.36%,28.1%,"30 Sep, 2025"
TARC,-60%,141.55,"4,177.1",-44.1,4.01,-0.91,-129.05%,-90.95%,"30 Sep, 2025"
IRM Energy,-61.9%,313.25,"1,286.2",31.4,1.36,-0.89,-9.8%,-1.16%,"30 Sep, 2025"
Chemplast Sanmar,-64.76%,338.45,"5,351.2",-24.52,48.33,0.35,20.56%,-6.06%,"30 Sep, 2025"
Landmark Cars,-65.13%,552,"2,286.7",109.55,4.25,-3.16,-82.82%,14.05%,"30 Sep, 2025"
Indoco Remedies,-67.84%,264.65,"2,441.3",-22.09,2.24,0.05,77.84%,10.68%,"30 Sep, 2025"
Easy Trip Planners,-70%,7.73,"2,739.6",155.47,4.53,-1.94,"-2,569.79%",4%,"30 Sep, 2025"
Ceat,-80.15%,4043.8,"16,357.2",33.04,3.74,-2.63,65.36%,6.89%,"30 Sep, 2025"
Devyani Intl,-84%,140.73,"17,350.2",-519.01,14.85,2.55,-693.47%,1.46%,"30 Sep, 2025"
Hindware Home Innovation,-91.32%,353.75,"2,959",-40.58,3.49,0.09,116.9%,27.33%,"30 Sep, 2025"
Shalby,-96.79%,224.46,"2,424.4",541.4,2.41,-5.91,-6.03%,-3.71%,"30 Sep, 2025"
Solara Active Pharma,-99.21%,572.25,"2,545.8",397.16,2.33,3.92,-196.01%,-1.76%,"30 Sep, 2025"
United Foodbrands,-104.9%,188.67,737.4,-13.57,1.95,0.03,-35.41%,2.62%,"30 Sep, 2025"
PVR INOX,-130.05%,1117.3,"10,971.9",-293.37,1.54,-3.34,295.74%,24.09%,"30 Sep, 2025"
Arvind Fashions,-137.65%,494.7,"6,608.7",-401.5,6.47,3.53,198.01%,28.01%,"30 Sep, 2025"
GMR Power & Urban Infra,-141.91%,125.62,"8,979.8",10.98,11.35,-0.21,"11,489.62%",9.82%,"30 Sep, 2025"
Poonawalla Fincorp,-180.38%,469.9,"38,181.1",175.26,4.67,-3.67,18.53%,17.38%,"30 Sep, 2025"
TVS Supply Chain,-210%,122.57,"5,407.5",95.54,2.91,1.05,-77.77%,2.71%,"30 Sep, 2025"
Prataap Snacks,-336.3%,1064.4,"2,543.9",-57.12,3.42,0.27,571.01%,5.08%,"30 Sep, 2025"
Muthoot Microfin,-422.8%,173.44,"2,957",-8.2,1.12,0.04,393.53%,3.17%,"30 Sep, 2025"
Puravankara,-490.77%,255.35,"6,055.6",-21.05,3.49,0.04,38.25%,22.85%,"30 Sep, 2025"
Dish TV,-912%,4.41,812,-1.2,-0.29,-0.02,-40.33%,-11.61%,"30 Sep, 2025"
