Stock,FC Est. Ann. Net Income Surprise %,LTP,Market Cap,PE TTM,PBV,PEG TTM,Net Profit QoQ Growth %,Revenue QoQ Growth %,Latest Financial Result
IRM Energy,-61.95%,316,"1,297.5",31.67,1.37,-0.89,-9.8%,-1.16%,"30 Sep, 2025"
Signatureglobal,-62.03%,1112.4,"15,630.4",200.99,24.55,4.63,-236.15%,-60.9%,"30 Sep, 2025"
Indoco Remedies,-62.67%,262.9,"2,425.2",-21.95,2.23,0.05,77.84%,10.68%,"30 Sep, 2025"
Gopal Snacks,-62.89%,329.6,"4,107.6",-687.23,9.26,6.47,917.91%,16.6%,"30 Sep, 2025"
Sudarshan Chemical,-64.51%,1035.8,"8,142.1",147.19,6.71,-2.53,-75.21%,-4.77%,"30 Sep, 2025"
Chemplast Sanmar,-65.95%,345.1,"5,456.4",-25,49.27,0.35,20.56%,-6.06%,"30 Sep, 2025"
Landmark Cars,-68.52%,561.7,"2,326.8",111.47,4.33,-3.21,-82.82%,14.05%,"30 Sep, 2025"
Varroc Engineering,-68.56%,652.8,"9,973.9",71.67,6.37,-0.97,-41.99%,8.87%,"30 Sep, 2025"
VIP Industries,-76.34%,398.35,"5,658.6",-28.87,9.18,0.09,-992.67%,-27.62%,"30 Sep, 2025"
Devyani Intl,-81.63%,138.07,"17,022.3",-509.2,14.57,2.5,-693.47%,1.46%,"30 Sep, 2025"
Quess Corp,-88.15%,211.84,"3,160",36.11,1.08,-0.48,1.35%,4.93%,"30 Sep, 2025"
Astec Lifesciences,-89.52%,631.85,"1,407.9",-12.36,2.98,1.24,26.06%,-19.06%,"30 Sep, 2025"
Shalby,-89.72%,224.83,"2,428.4",542.29,2.41,-5.92,-6.03%,-3.71%,"30 Sep, 2025"
SIS,-96.32%,336.2,"4,739.7",90.38,1.82,-1.35,-13.14%,5.92%,"30 Sep, 2025"
Solara Active Pharma,-99.37%,572.95,"2,548.9",397.64,2.33,3.93,-196.01%,-1.76%,"30 Sep, 2025"
Arvind Fashions,-137.68%,500.55,"6,686.9",-406.25,6.54,3.57,198.01%,28.01%,"30 Sep, 2025"
One97 Communications,-140.96%,1299.2,"83,059.6",-137.38,5.53,-12.39,-82.86%,7.48%,"30 Sep, 2025"
Century Textiles,-208.13%,1744.6,"19,486.4",-91.57,4.81,0.29,38.2%,-32.78%,"30 Sep, 2025"
TVS Supply Chain,-208.86%,122.45,"5,402.3",95.45,2.91,1.05,-77.77%,2.71%,"30 Sep, 2025"
United Foodbrands,-212.25%,189.83,742,-13.66,1.96,0.03,-35.41%,2.62%,"30 Sep, 2025"
Hindware Home Innovation,-396.65%,358.4,"2,997.9",-41.12,3.54,0.09,116.9%,27.33%,"30 Sep, 2025"
Muthoot Microfin,-427.3%,170.59,"2,908.4",-8.06,1.1,0.04,393.53%,3.17%,"30 Sep, 2025"
Puravankara,-479.21%,260.15,"6,169.5",-21.44,3.55,0.04,38.25%,22.85%,"30 Sep, 2025"
Poonawalla Fincorp,-487.93%,469.2,"38,124.3",174.99,4.66,-3.66,18.53%,17.38%,"30 Sep, 2025"
Dish TV,-946.93%,4.48,824.9,-1.22,-0.3,-0.02,-40.33%,-11.61%,"30 Sep, 2025"
