Stock,FC Est. Ann. Revenue Surprise %,LTP,Market Cap,PE TTM,PBV,PEG TTM,Net Profit QoQ Growth %,Revenue QoQ Growth %,Latest Financial Result
ideaForge Technology,-11.27%,512.8,"2,217.9",-23.87,3.39,0.03,16.71%,218.94%,"30 Sep, 2025"
IRIS Clothings,-11.41%,33.15,631,46.38,5.13,2.92,56.56%,18.52%,"30 Sep, 2025"
Inox Wind,-11.64%,145.45,"25,137.2",49.67,3.56,0.31,-13.35%,35.45%,"30 Sep, 2025"
IndusInd Bank,-11.74%,852,"66,377.3",-87.41,1.01,0.8,-172.32%,-5.34%,"30 Sep, 2025"
JNK,-11.76%,290.85,"1,627.4",53.83,3.26,-1.07,"1,055.55%",79.88%,"30 Sep, 2025"
India Cements,-12.07%,394.45,"12,223.9",948.33,2.32,9.14,106.63%,9.01%,"30 Sep, 2025"
Mazagon Dock Shipbuilders,-12.09%,2803.1,"1,13,071.5",48.45,15.51,-5.26,65.76%,11.57%,"30 Sep, 2025"
Jio Financial,-14.69%,313.1,"1,98,916.9",121.99,1.45,80.17,114.08%,60.24%,"30 Sep, 2025"
Max Estates,-15.35%,462,"7,495.1",134.32,3.4,0.02,-36.54%,-5.25%,"30 Sep, 2025"
Solara Active Pharma,-16.44%,572.25,"2,545.8",397.16,2.33,3.92,-196.01%,-1.76%,"30 Sep, 2025"
Mishra Dhatu Nigam,-16.56%,364.25,"6,823.9",63.39,4.82,2.88,-0.07%,23.01%,"30 Sep, 2025"
Max Healthcare,-17.42%,1111.5,"1,08,064.1",79.63,12.28,2.83,59.53%,5.32%,"30 Sep, 2025"
Puravankara,-18.18%,255.35,"6,055.6",-21.05,3.49,0.04,38.25%,22.85%,"30 Sep, 2025"
Allcargo Gati,-19.2%,66.05,971.4,54.45,1.22,3.5,-69.3%,-7.3%,"30 Jun, 2025"
Ventive Hospitality,-20.19%,748.55,"17,481.8",73.84,3.64,0.39,95.18%,-3.57%,"30 Sep, 2025"
DCX Systems,-23.07%,204.35,"2,276.2",88.46,1.7,-1.68,-322.77%,-13.19%,"30 Sep, 2025"
Prestige Estates,-23.11%,1749.7,"75,364.9",98.45,4.55,7.94,47.11%,5.39%,"30 Sep, 2025"
Sterlite Tech,-25.14%,117.03,"5,711.3",-114.23,1.94,-1.52,-60%,1.47%,"30 Sep, 2025"
PTC Industries,-25.14%,17191,"25,759.2",414.73,18.58,10.91,251.82%,28.29%,"30 Sep, 2025"
Signatureglobal,-27.31%,1103.5,"15,505.4",199.38,24.36,4.59,-236.15%,-60.9%,"30 Sep, 2025"
Sunteck Realty,-28.62%,440,"6,445.5",36.77,2.04,2.08,46.47%,34.01%,"30 Sep, 2025"
Quess Corp,-29.63%,216.92,"3,235.7",36.98,1.11,-0.49,1.35%,4.93%,"30 Sep, 2025"
Astec Lifesciences,-38.91%,642.05,"1,430.6",-12.56,3.03,1.26,26.06%,-19.06%,"30 Sep, 2025"
Mahindra Lifespace,-39.91%,390.5,"8,329.9",51.51,2.46,1.49,-6.52%,-45.07%,"30 Sep, 2025"
TARC,-83.16%,141.55,"4,177.1",-44.1,4.01,-0.91,-129.05%,-90.95%,"30 Sep, 2025"
