Stock,FC Est. Qtr EPS Surprise %,LTP,Market Cap,PE TTM,PBV,PEG TTM,Net Profit QoQ Growth %,Revenue QoQ Growth %,Latest Financial Result
Sudarshan Chemical,-77.44%,1035.8,"8,142.1",147.19,6.71,-2.53,-75.21%,-4.77%,"30 Sep, 2025"
Electronics Mart,-80%,132.69,"5,105.2",50.66,3.33,-1.12,-25.33%,-8.53%,"30 Sep, 2025"
Gokaldas Exports,-80%,917.6,"6,720.5",43.99,3.45,2.52,-80.51%,2.99%,"30 Sep, 2025"
Info Edge,-80.82%,1323.5,"85,818.5",65.1,2.05,0.36,6.92%,1.84%,"30 Sep, 2025"
NIIT,-82.5%,101.05,"1,377.9",42.68,1.28,-1.5,-68.65%,24.76%,"30 Sep, 2025"
Prudent Corporate,-87.53%,2531,"10,480",51.06,15.7,3.07,3.4%,8.86%,"30 Sep, 2025"
Ganesha Ecosphere,-104%,972.2,"2,605.1",40.89,2.38,-1.69,-104.65%,7.79%,"30 Sep, 2025"
Chemplast Sanmar,-107.1%,345.1,"5,456.4",-25,49.27,0.35,20.56%,-6.06%,"30 Sep, 2025"
Kolte-Patil Developers,-118.15%,415.6,"3,685.5",58.34,4.37,0.31,38.61%,68.36%,"30 Sep, 2025"
LE Travenues Tech,-118.6%,277.1,"10,818.1",224.68,18.19,-7.97,-116.65%,-10.09%,"30 Sep, 2025"
Camlin Fine Sciences,-132.22%,165.67,"3,114.3",-106.63,3.41,-1.23,-44.41%,8.56%,"30 Sep, 2025"
Orchid Pharma,-138.97%,803.7,"4,076.3",78.01,3.33,-1.39,-138.39%,11.91%,"30 Sep, 2025"
Sagar Cements,-150.37%,221.51,"2,895.3",-17.34,1.68,0.15,"-3,568.03%",-10.26%,"30 Sep, 2025"
Piramal Pharma,-158.62%,194.03,"25,791.4","-1,086.39",3.26,7.13,-21.44%,5.69%,"30 Sep, 2025"
Signatureglobal,-195.43%,1112.4,"15,630.4",200.99,24.55,4.63,-236.15%,-60.9%,"30 Sep, 2025"
IndusInd Bank,-201.6%,848.25,"66,085.1",-87.03,1.01,0.8,-172.32%,-5.34%,"30 Sep, 2025"
Devyani Intl,-220%,138.07,"17,022.3",-509.2,14.57,2.5,-693.47%,1.46%,"30 Sep, 2025"
Zydus Wellness,-226.09%,454.35,"14,455.6",57.05,2.55,-2.77,-141.28%,-24.44%,"30 Sep, 2025"
Kaveri Seed Company,-251%,1070.3,"5,505.5",18.16,3.56,19.41,-104.73%,-74.5%,"30 Sep, 2025"
Westlife Foodworld,-261.9%,548.9,"8,559.3",228.42,14.18,3.12,"2,157.38%",-2.4%,"30 Sep, 2025"
Fusion Micro Finance,-463.33%,170.94,"2,248.8",-2.25,0.77,0,76%,-4.29%,"30 Sep, 2025"
Amber Enterprises,-482.72%,7376,"25,942.9",116.36,11.34,5.82,-131.63%,-52.25%,"30 Sep, 2025"
Greenpanel Industries,-614.29%,272,"3,335.5","-1,058.12",2.47,10.23,81.46%,20.65%,"30 Sep, 2025"
VIP Industries,-765%,398.35,"5,658.6",-28.87,9.18,0.09,-992.67%,-27.62%,"30 Sep, 2025"
Mahindra Logistics,"-1,023.08%",340.7,"3,379.1",-91.5,2.85,-3.75,4.17%,3.74%,"30 Sep, 2025"
