Stock,FC Est. Qtr Net Income Surprise %,LTP,Market Cap,PE TTM,PBV,PEG TTM,Net Profit QoQ Growth %,Revenue QoQ Growth %,Latest Financial Result
MTAR Technologies,-84.08%,2665,"8,197.4",183.21,11.72,11.34,-60.74%,-13.41%,"30 Sep, 2025"
InterGlobe Aviation,-84.62%,5859,"2,26,503.1",44.32,59.58,-1.93,-218.63%,-9.47%,"30 Sep, 2025"
Landmark Cars,-89.38%,552,"2,286.7",109.55,4.25,-3.16,-82.82%,14.05%,"30 Sep, 2025"
Alicon Castalloy,-96.29%,886.5,"1,448.3",43.34,2.44,-0.8,49.11%,2.45%,"30 Sep, 2025"
Ganesha Ecosphere,-102.92%,947.2,"2,538.1",39.84,2.31,-1.65,-104.65%,7.79%,"30 Sep, 2025"
Kolte-Patil Developers,-115.84%,408.55,"3,623",57.35,4.3,0.31,38.61%,68.36%,"30 Sep, 2025"
LE Travenues Tech,-115.9%,272.4,"10,634.6",220.87,17.88,-7.84,-116.65%,-10.09%,"30 Sep, 2025"
Route Mobile,-129.09%,689.1,"4,341.2",25.38,1.79,-0.47,-139.86%,6.53%,"30 Sep, 2025"
Devyani Intl,-141.88%,140.73,"17,350.2",-519.01,14.85,2.55,-693.47%,1.46%,"30 Sep, 2025"
Orchid Pharma,-143.83%,842.9,"4,275.1",81.81,3.49,-1.46,-138.39%,11.91%,"30 Sep, 2025"
Signatureglobal,-145.56%,1103.5,"15,505.4",199.38,24.36,4.59,-236.15%,-60.9%,"30 Sep, 2025"
Century Textiles,-151.1%,1750,"19,546.8",-91.85,4.83,0.29,38.2%,-32.78%,"30 Sep, 2025"
IndusInd Bank,-189.21%,852,"66,377.3",-87.41,1.01,0.8,-172.32%,-5.34%,"30 Sep, 2025"
Camlin Fine Sciences,-200.56%,168.5,"3,167.5",-108.46,3.46,-1.25,-44.41%,8.56%,"30 Sep, 2025"
Delhivery,-216.97%,441.2,"32,991.9",238.7,3.56,0.14,-155.33%,11.57%,"30 Sep, 2025"
Amber Enterprises,-251.99%,7475,"26,291.1",117.92,11.5,5.9,-131.63%,-52.25%,"30 Sep, 2025"
VIP Industries,-340.43%,388,"5,511.6",-28.12,8.94,0.09,-992.67%,-27.62%,"30 Sep, 2025"
Nazara Technologies,-396.46%,269.9,"9,998.9",162.79,3.49,-10.27,-154.9%,5.55%,"30 Sep, 2025"
Hikal,-449%,234.12,"2,886.7",285.82,2.29,-3.31,-55.8%,-16.27%,"30 Sep, 2025"
Zydus Wellness,-488.24%,450.4,"14,330",56.55,2.53,-2.74,-141.28%,-24.44%,"30 Sep, 2025"
Mahindra Logistics,-514%,337.55,"3,347.9",-90.65,2.82,-3.72,4.17%,3.74%,"30 Sep, 2025"
Kaveri Seed Company,"-1,443%",1071.1,"5,509.6",18.17,3.56,19.42,-104.73%,-74.5%,"30 Sep, 2025"
Greenpanel Industries,"-1,557.14%",266.75,"3,271.1","-1,037.7",2.42,10.03,81.46%,20.65%,"30 Sep, 2025"
Piramal Pharma,"-10,924.44%",194.95,"25,913.7","-1,091.55",3.27,7.16,-21.44%,5.69%,"30 Sep, 2025"
Allcargo Logistics,"-33,206.67%",13.74,"1,350.3",-19.37,0.53,0.06,-693.65%,-3.43%,"30 Jun, 2025"
