Stock,FC Est. Ann. EPS Surprise %,LTP,Market Cap,PE TTM,PBV Adjusted,PEG TTM,Net Profit QoQ Growth %,Revenue QoQ Growth %,Latest Financial Result
SAIL,37.32%,165.96,"68,550.2",24.58,1.17,1.02,-10.67%,2.5%,"31 Dec, 2025"
Delhivery,37.42%,440.9,"33,002.4",215.93,3.45,0.35,178.62%,9.6%,"31 Dec, 2025"
Ambuja Cements,40.59%,514.9,"1,27,274.2",34.27,2.25,-2.62,-88.46%,12.01%,"31 Dec, 2025"
NLC,40.79%,265.7,"36,842.9",14.11,1.78,0.89,0.14%,6.33%,"31 Dec, 2025"
Prism Johnson,42.29%,125.45,"6,314.6",32.26,4.19,0.08,"2,075.09%",-0.6%,"31 Dec, 2025"
Dalmia Bharat Sugar,52.17%,282.85,"2,289.4",6.78,0.69,0.53,199.19%,-29.43%,"31 Dec, 2025"
Sheela Foam,52.84%,555.65,"6,040.5",66.6,1.93,-1.91,439.65%,22.8%,"31 Dec, 2025"
PNC Infratech,54.23%,214.02,"5,490.5",6.87,0.82,-0.23,-64.43%,6.48%,"31 Dec, 2025"
Senores Pharmaceuticals,55%,784.05,"3,610.8",35.54,4.26,0.55,-2.22%,7.91%,"31 Dec, 2025"
Bodal Chemicals,57%,46.77,589,19.46,0.52,0.05,-95.96%,1.9%,"31 Dec, 2025"
Embassy Office Parks REIT,68.2%,425.21,"40,305.4",24.81,1.68,0.36,-253.53%,6.31%,"31 Mar, 2025"
Tube Investments,73.45%,2599.1,"50,297.7",84.12,6.45,-3.16,-11.14%,5.04%,"31 Dec, 2025"
Birla Corporation,73.83%,1002.4,"7,719",14.86,1.07,0.12,-41.69%,-2.17%,"31 Dec, 2025"
BlackBuck,107.87%,604.25,"10,966.6",29.26,8.15,0.15,8.65%,13.66%,"31 Dec, 2025"
Max Estates,112.5%,403.4,"6,593.4",182.74,2.86,2.86,-99.65%,2.05%,"31 Dec, 2025"
Spicejet,115.9%,12.88,"1,650.8",-2.13,-0.52,0.01,57.93%,77.72%,"31 Dec, 2025"
Utkarsh Small Finance,116.3%,15.15,"2,696",-2.81,1.02,0,-7.62%,-2.24%,"31 Dec, 2025"
Mangalore Refinery,136.25%,200.67,"35,169.4",16.15,2.38,0.1,131.27%,9.11%,"31 Dec, 2025"
Embassy Developments,170.43%,58.06,"8,074",-19.12,0.81,0.39,-52.56%,-56.93%,"31 Dec, 2025"
EFC I,182.8%,242.45,"3,328.4",19.23,4.81,0.33,41.7%,5.89%,"31 Dec, 2025"
Dilip Buildcon,212.03%,439.8,"7,144.3",5.06,1.09,0.03,357.24%,11.01%,"31 Dec, 2025"
Nuvoco Vistas,215.09%,333.95,"11,927.2",31.05,1.29,0.03,34.64%,9.92%,"31 Dec, 2025"
V-Mart Retail,425%,577,"4,584.7",34.94,4.91,0.03,"1,092%",39.6%,"31 Dec, 2025"
Ventive Hospitality,581.51%,707.8,"16,530.1",51.02,3.23,0.13,121.82%,40.09%,"31 Dec, 2025"
Biocon,"1,230.51%",392,"63,539.6",105.16,2.36,-4.23,70.18%,-2.85%,"31 Dec, 2025"
