Stock,FC Est. Ann. Net Income Surprise %,LTP,Market Cap,PE TTM,PBV Adjusted,PEG TTM,Net Profit QoQ Growth %,Revenue QoQ Growth %,Latest Financial Result
NTPC Green Energy,37.28%,89.18,"75,146",134.49,4.01,1.83,-80.04%,6.7%,"31 Dec, 2025"
Antony Waste Handling,38.12%,513.35,"1,457",17.57,2.11,1.27,-15.78%,1.86%,"31 Dec, 2025"
Suzlon Energy,43.44%,46.03,"63,120.4",19.53,8.03,0.11,-65.2%,9.44%,"31 Dec, 2025"
Welspun Corp,45.19%,810.05,"21,368.4",11.01,2.61,0.35,2.94%,3.63%,"31 Dec, 2025"
Dalmia Bharat Sugar,51.9%,296.7,"2,401.5",7.11,0.74,0.55,199.19%,-29.43%,"31 Dec, 2025"
Tata Communications,53.01%,1673,"47,680.5",26.81,16.74,0.45,99.54%,1.46%,"31 Dec, 2025"
GMR Airports,53.25%,94.31,"99,581.7",-453.72,-36.43,-6.09,82.47%,14.5%,"30 Sep, 2025"
Bodal Chemicals,54.17%,50,629.7,17.77,0.56,0.01,-37.13%,5.78%,"30 Sep, 2025"
Birla Corporation,58.61%,1058.8,"8,153.3",15.7,1.14,0.13,-41.69%,-2.17%,"31 Dec, 2025"
Gateway Distriparks,59.3%,58.93,"2,944.4","1,494.17",1.3,-14.99,1.31%,-1.22%,"31 Dec, 2025"
India Cements,69.16%,443.9,"13,756.3",-122.74,1.37,-2.52,-130.31%,-0.25%,"31 Dec, 2025"
ITC,75.15%,315.35,"3,95,109.3",11.28,5.56,0.15,-3.8%,2.8%,"31 Dec, 2025"
Tube Investments,79.34%,2505.9,"48,494.1",81.1,6.45,-3.04,-11.14%,5.04%,"31 Dec, 2025"
Centum Electronics,80.89%,2390,"3,522",322.08,8.71,0.83,-5.47%,6.3%,"30 Sep, 2025"
BlackBuck,96.98%,636.6,"11,553.7",30.83,8.79,0.16,8.65%,13.66%,"31 Dec, 2025"
EFC I,134.07%,268.65,"3,688.1",24.95,5.86,0.37,29.68%,15.92%,"30 Sep, 2025"
Spicejet,152.55%,19.38,"2,483.9",-3.21,-0.85,0.01,57.93%,77.72%,"31 Dec, 2025"
Mangalore Refinery,156.2%,189.29,"33,174.9",15.23,2.49,0.09,131.27%,9.11%,"31 Dec, 2025"
Huhtamaki,204.39%,192.11,"1,450.9",15.96,1.23,4.81,-91.76%,-90.04%,"31 Dec, 2025"
Max Estates,204.55%,411.85,"6,731.5",186.57,2.92,2.92,-99.65%,2.05%,"31 Dec, 2025"
Prism Johnson,216.52%,121.19,"6,100.2",31.16,4.18,0.08,"2,075.09%",-0.6%,"31 Dec, 2025"
Nuvoco Vistas,221.6%,340.35,"12,155.8",31.64,1.32,0.03,34.64%,9.92%,"31 Dec, 2025"
Indian Hume Pipe Company,628.52%,372.45,"1,962.1",3.18,1.4,0.01,77.31%,-22.68%,"31 Dec, 2025"
Strides Pharma,987.28%,864,"7,963.7",15.57,2.89,0.17,58.47%,-2.14%,"31 Dec, 2025"
Aster DM Healthcare,"1,465.28%",600.3,"31,102.8",95.12,6.86,-1.01,-52.32%,-0.96%,"31 Dec, 2025"
