Stock,FC Est. Ann. Revenue Surprise %,LTP,Market Cap,PE TTM,PBV Adjusted,PEG TTM,Net Profit QoQ Growth %,Revenue QoQ Growth %,Latest Financial Result
Chennai Petroleum,7.39%,860.8,"12,818.3",5.96,1.45,0.01,39.27%,-3.95%,"31 Dec, 2025"
GMR Power & Urban Infra,7.64%,101.64,"7,938.3",9.71,5.51,-0.19,"11,489.62%",9.82%,"30 Sep, 2025"
Antony Waste Handling,7.76%,502.75,"1,426.9",17.21,2.07,1.24,-15.78%,1.86%,"31 Dec, 2025"
Arvind SmartSpaces,7.83%,526,"2,412.6",26.15,4.03,0.75,26.79%,38.08%,"30 Sep, 2025"
Bharat Dynamics,8.23%,1314.8,"48,195.6",83.11,11.43,32.92,-66.22%,-50.6%,"31 Dec, 2025"
PG Electroplast,8.38%,558.95,"15,947.9",62.66,5.49,1.91,-95.88%,-56.42%,"30 Sep, 2025"
Sharda Cropchem,8.55%,1101,"9,933.3",17.56,3.71,0.13,95.28%,38.71%,"31 Dec, 2025"
Zaggle Prepaid Ocean,8.65%,279.85,"3,762.6",33.6,2.87,0.59,33.99%,30.2%,"30 Sep, 2025"
Lumax Auto Tech,8.77%,1367.1,"9,317.8",44.06,8.83,1.22,61.41%,12.66%,"30 Sep, 2025"
Indian Renewable,8.94%,126.6,"35,564.9",18.89,2.75,0.83,6.52%,3.54%,"31 Dec, 2025"
Godrej Properties,9.07%,1551.9,"46,744.2",30.16,2.55,2.6,-32.5%,70.37%,"30 Sep, 2025"
DLF,9.85%,624.3,"1,54,533.7",34.9,3.59,3.31,1.97%,22.96%,"31 Dec, 2025"
Godfrey Phillips,9.87%,1911.6,"29,817.5",23.22,5.12,0.84,12.54%,41.86%,"31 Dec, 2025"
Paradeep Phosphates,11.14%,130.9,"13,587",14.82,2.04,0.1,33.65%,83.06%,"30 Sep, 2025"
Skipper,11.74%,357.9,"4,040.8",22.08,3.16,0.5,42.55%,8.62%,"31 Dec, 2025"
Data Patterns,15.14%,2540,"14,219.9",60.92,9.25,2.34,92.9%,209.53%,"30 Sep, 2025"
Sudarshan Chemical,17.73%,891.8,"7,010.6",126.74,1.99,-2.18,-75.21%,-4.77%,"30 Sep, 2025"
Aditya Birla Capital,18.72%,328.25,"85,922.9",26.33,2.67,-2.06,2.41%,11.49%,"30 Sep, 2025"
VST Industries,21.52%,226.39,"3,845.5",16.82,3.03,-0.56,1.72%,11.11%,"31 Dec, 2025"
Cholamandalam Fin,27.21%,1640,"30,795.5",13.82,2.25,1.63,-4.94%,1.78%,"30 Sep, 2025"
Muthoot Microfin,49.38%,173.55,"2,958.9",-8.2,1.09,0.04,393.53%,3.17%,"30 Sep, 2025"
Sobha,57.03%,1421,"15,196.1",106.69,3.3,0.8,-78.73%,-33%,"31 Dec, 2025"
Muthoot Finance,61.85%,3516.3,"1,41,168.4",19.33,4.3,0.34,20.06%,12.91%,"30 Sep, 2025"
Hubtown,97.33%,203.98,"2,898.6",22.69,1.11,0.08,-69.65%,11.26%,"30 Sep, 2025"
Embassy Developments,370.83%,63.05,"8,767.9",-52.51,0.85,-1.02,7.86%,-27.58%,"30 Sep, 2025"
