Stock,FC Est. Qtr EPS Surprise %,LTP,Market Cap,PE TTM,PBV Adjusted,PEG TTM,Net Profit QoQ Growth %,Revenue QoQ Growth %,Latest Financial Result
Apar Industries,52.49%,12970,"52,098.3",53.52,10.29,2.6,-16.99%,-4.12%,"31 Dec, 2025"
Orchid Pharma,52.67%,725.65,"3,680.4",180.82,2.92,-2.27,288.53%,14.64%,"31 Mar, 2026"
Dixon Technologies,53.64%,11762,"71,849.2",49.94,16.42,1.59,-10.74%,-1.51%,"31 Mar, 2026"
NTPC,53.99%,398.4,"3,86,315.2",14.28,1.96,0.92,91.06%,8.38%,"31 Mar, 2026"
Suraksha Diagnostic,60%,292.25,"1,522.1",47.29,6.41,41.47,-16.52%,4.79%,"31 Mar, 2026"
Suzlon Energy,62%,55.26,"75,792.1",23.96,9.13,0.45,150.26%,29.68%,"31 Mar, 2026"
Zydus Lifesciences,70.32%,1083.8,"1,09,055.6",21.64,4.15,2.26,22.11%,10.53%,"31 Mar, 2026"
Bajaj Finserv,79.55%,1806,"2,89,059.3",29.49,3.57,2.82,13.89%,-3.06%,"31 Mar, 2026"
Sapphire Foods,81.58%,184.63,"5,933.7",-176.05,4.28,0.64,-92.97%,-2.65%,"31 Mar, 2026"
Restaurant Brands Asia,97.5%,68.4,"3,986.9",-21.31,5.27,-1.58,1.21%,-1.09%,"31 Mar, 2026"
Rolex Rings,105.62%,144.15,"3,925.7",27.82,3.24,-1.47,-100.31%,11.23%,"31 Mar, 2026"
Ganesha Ecosphere,117%,962.4,"2,578.9",67.49,2.04,-1.07,388.83%,18.68%,"31 Mar, 2026"
Senco Gold,120.55%,337.9,"5,536.1",9.64,2.33,0.04,-40.58%,-34.98%,"31 Mar, 2026"
Tarsons Products,124%,221,"1,175.9",82.1,1.86,-1.58,-16.98%,12.08%,"31 Mar, 2026"
Adani Power,128.57%,248.02,"4,78,299",37.27,7.85,-46.16,62.01%,14.23%,"31 Mar, 2026"
Prince Pipes,130.45%,271.15,"2,997.9",40.96,1.89,0.59,"2,462.32%",48.28%,"31 Mar, 2026"
Cholamandalam Fin,134.65%,1635.2,"30,705.4",12.58,2.04,1.02,9.81%,4.2%,"31 Mar, 2026"
Eris Lifesciences,137.25%,1367.2,"18,944.9",30.58,5.92,0.4,182.4%,-6.3%,"31 Mar, 2026"
Nazara Technologies,139.62%,291.35,"10,793.5",133.4,3.17,21.49,377.24%,-2.02%,"31 Mar, 2026"
Ambuja Cements,176.87%,457.6,"1,13,110.6",24.66,2,2.49,798.45%,5.98%,"31 Mar, 2026"
Sudarshan Chemical,196.3%,1001,"7,870.6",352.94,2.32,-5.88,168.26%,32.66%,"31 Mar, 2026"
Mangalam Cement,225.62%,857,"2,356.5",18.27,2.58,0.1,474.7%,16.38%,"31 Mar, 2026"
Hindustan Petroleum,254.46%,394.2,"83,878.8",4.65,1.38,0.03,51.2%,-0.19%,"31 Mar, 2026"
NHPC,327.66%,79.45,"79,807.8",21.19,1.92,0.86,566.37%,26.78%,"31 Mar, 2026"
Prestige Estates,545.56%,1417.3,"61,047.4",51.06,3.8,0.33,12.35%,5.2%,"31 Mar, 2026"
