Stock,FC Est. Qtr Net Income Surprise %,LTP,Market Cap,PE TTM,PBV Adjusted,PEG TTM,Net Profit QoQ Growth %,Revenue QoQ Growth %,Latest Financial Result
GMR Airports,54.9%,102.79,"1,08,535.7",-297.81,-42.06,9.33,428.47%,8.83%,"31 Dec, 2025"
IndiaMART InterMESH,56.38%,2229.4,"13,395.8",22.14,5.72,0.77,127.69%,2.71%,"31 Dec, 2025"
JSW Steel,57.5%,1276.4,"3,12,137.8",41.9,3.66,0.33,31.79%,1.86%,"31 Dec, 2025"
Juniper Hotels,61.53%,217.19,"4,832.5",33.06,1.72,0.25,289.2%,28.14%,"31 Dec, 2025"
Dixon Technologies,62.61%,10458,"63,586.6",40.17,14.53,0.4,-57.13%,-28.16%,"31 Dec, 2025"
Syrma SGS Technology,63.47%,833.7,"16,045.7",56.9,5.5,0.56,60.45%,10.32%,"31 Dec, 2025"
India Cements,75.86%,426.25,"13,209.4",-117.86,1.31,-2.42,-130.31%,-0.25%,"31 Dec, 2025"
Greenpanel Industries,75.95%,208.77,"2,560.1","-1,808.32",1.89,17.74,259.55%,5.13%,"31 Dec, 2025"
Netweb Technologies,76.65%,3685,"20,982.7",117.74,32.18,1.54,133.23%,165.02%,"31 Dec, 2025"
Mahindra Lifespace,78%,373.85,"7,975.8",27.21,2.3,0.05,127.31%,"2,514.81%","31 Dec, 2025"
Mangalore Refinery,78.41%,200.67,"35,169.4",16.15,2.38,0.1,131.27%,9.11%,"31 Dec, 2025"
JSW Energy,82.89%,491.25,"86,327",37.93,2.91,1.88,-40.41%,-21.16%,"31 Dec, 2025"
Aarti Industries,84.88%,448.65,"16,267.8",43.04,2.78,14.49,25.47%,10.38%,"31 Dec, 2025"
Garware Technical Fibres,117.91%,655.1,"6,502.9",30.62,4.8,-4,75.76%,11.31%,"31 Dec, 2025"
P N Gadgil Jewellers,121.39%,550.5,"7,470.7",19.58,3.99,0.24,115.49%,51.66%,"31 Dec, 2025"
Senco Gold,127.88%,324.25,"5,308.6",11.06,2.24,0.04,441.18%,99.92%,"31 Dec, 2025"
Aurum Proptech,137.47%,183.6,"1,402.2",-63.94,2.87,-2.24,138.08%,39.18%,"31 Dec, 2025"
Engineers India,155.65%,217.69,"12,235.1",15.77,4.06,0.18,315.84%,31.36%,"31 Dec, 2025"
Hindustan Unilever,169.1%,2370.9,"5,57,064.6",38.39,10.07,1.09,146.07%,1.23%,"31 Dec, 2025"
Adani Enterprises,202.43%,2201.3,"2,76,897.3",20.66,4.65,0.08,75.91%,16.81%,"31 Dec, 2025"
Trident,253.92%,25.57,"13,030.4",31.91,2.8,0.81,-51.35%,-11.9%,"31 Dec, 2025"
Puravankara,292.73%,218.39,"5,179.1",-38.26,3.09,1.13,243.43%,65.99%,"31 Dec, 2025"
Ramco Systems,584.23%,467.15,"1,749",79.13,5.34,0.58,-74.12%,1.55%,"31 Dec, 2025"
EPACK Durables,763.33%,252.44,"2,429.2",59.32,2.53,-6.24,111.64%,100.58%,"31 Dec, 2025"
The Ramco Cements,796.25%,1144.9,"27,053.1",47.02,3.4,0.88,398.56%,-5.94%,"31 Dec, 2025"
