Stock,FC Est. Qtr Revenue Surprise %,LTP,Market Cap,PE TTM,PBV Adjusted,PEG TTM,Net Profit QoQ Growth %,Revenue QoQ Growth %,Latest Financial Result
Alkyl Amines Chemicals,17.92%,1768.6,"9,045.4",50.25,6.09,-15.33,7.36%,9.3%,"31 Mar, 2026"
PG Electroplast,18.06%,470.7,"13,442.6",48.54,4.54,1.59,"2,145.05%",115.47%,"31 Dec, 2025"
KNR Constructions,18.31%,133.8,"3,762.9",8,0.77,-0.13,-1.77%,14.96%,"31 Dec, 2025"
HDFC Life Insurance,18.77%,619.95,"1,33,774",69.95,7.7,12.48,18.96%,-32.41%,"31 Mar, 2026"
Finolex Cables,18.77%,1074.35,"16,431",24.13,2.82,-11.85,0.85%,16.2%,"31 Dec, 2025"
Manorama Industries,19.85%,1396,"8,335.3",38.78,13.13,0.19,-41.22%,7.94%,"31 Mar, 2026"
Fineotex Chemical,23.54%,37.33,"4,347.1",39.97,4.81,79.47,19.97%,70.77%,"31 Mar, 2026"
Globus Spirits,24.18%,877.6,"2,535.2",27.62,2.39,0.09,-30.37%,-11.78%,"31 Mar, 2026"
Prestige Estates,24.67%,1410.1,"60,737.3",50.8,3.78,0.33,12.35%,5.2%,"31 Mar, 2026"
Kennametal,25.54%,3040,"6,681.4",48.24,8.81,1.34,110.66%,20.69%,"31 Mar, 2026"
Hikal,28.86%,211.97,"2,613.6",-201.05,2.2,1.71,83.09%,55.2%,"31 Dec, 2025"
NHPC,29.27%,78.99,"79,345.7",21.07,1.91,0.86,566.37%,26.78%,"31 Mar, 2026"
Titan Company,36.08%,4156.8,"3,69,035",72.73,25.47,1.4,-29.99%,5.92%,"31 Mar, 2026"
IRM Energy,40.89%,276.55,"1,135.5",21.34,1.15,1.2,-8.74%,5.52%,"31 Mar, 2026"
Motilal Oswal,42.63%,863.65,"51,995.6",27.82,3.87,-1.1,-139.1%,26.73%,"31 Mar, 2026"
Kaveri Seed Company,45.89%,924.25,"4,754.3",15.81,2.63,-14.6,184.27%,-3.97%,"31 Dec, 2025"
Puravankara,47.88%,229.13,"5,433.8",85.29,3.24,0.63,88.92%,40.46%,"31 Mar, 2026"
Godrej Properties,53.86%,1764,"53,133",28.72,2.87,0.89,233%,593.9%,"31 Mar, 2026"
ICICI Prudential,61.38%,525.6,"76,234.2",47.41,5.82,1.33,61.15%,-86.05%,"31 Mar, 2026"
AvenuesAI,62.53%,13.95,"4,864",19.55,1.14,1.96,8.06%,21.19%,"31 Dec, 2025"
Keystone Realtors,170.41%,398.9,"5,035.4",63.85,1.8,-1.18,"1,450.89%",499.61%,"31 Mar, 2026"
Embassy Developments,256.48%,63.16,"8,783.2",-10.03,0.88,0.01,-38.88%,61.23%,"31 Mar, 2026"
Mahindra Lifespace,435.82%,336.85,"7,186.5",24.11,2.08,0.06,-17.24%,45.84%,"31 Mar, 2026"
Max Financial,655.65%,1716.8,"59,249.3",705.6,11.08,-9.49,-172.07%,-24.24%,"31 Mar, 2026"
Fino Payments Bank,995.38%,125.29,"1,042.6",19.88,1.36,-0.46,-42.04%,1.81%,"31 Mar, 2026"
