Stock,FC Est. No of bearish Est.,LTP,Market Cap,PE TTM,PBV Adjusted,PEG TTM,Net Profit QoQ Growth %,Revenue QoQ Growth %,Latest Financial Result
JSW Steel,8,1244.7,"3,04,385.7",40.86,3.67,0.33,31.79%,1.86%,"31 Dec, 2025"
HCL Technologies,8,1381,"3,74,757.2",22.77,5.26,-6.39,-3.75%,6.04%,"31 Dec, 2025"
Gujarat Gas,8,413.2,"28,444.3",24.48,3.27,-2.86,-4.64%,-3.23%,"31 Dec, 2025"
Bharat Heavy Electricals,8,256.35,"89,262.7",109.63,3.66,1.93,4.14%,12.8%,"31 Dec, 2025"
Berger Paints,8,461.2,"53,771.1",51.01,8.56,-6.72,31.46%,5.53%,"31 Dec, 2025"
Bajaj Auto,8,9730,"2,71,951.4",30.61,7.96,1.71,29.58%,2.99%,"31 Dec, 2025"
Tata Motors PV,9,378.1,"1,39,230.7",1.64,1.26,0.01,-104.58%,-3.1%,"31 Dec, 2025"
ITC,9,322.9,"4,04,568.8",11.55,5.69,0.16,-3.8%,2.8%,"31 Dec, 2025"
Vodafone Idea,9,11,"1,19,177.3",-4.85,-1.45,-0.41,4.31%,1.15%,"31 Dec, 2025"
SBI Cards and Payment,10,771,"73,367.2",35.08,4.96,15.23,25.15%,3.35%,"31 Dec, 2025"
L&T Technology,10,3314.5,"35,132.4",27.92,5.68,-9.43,-7.94%,-1.88%,"31 Dec, 2025"
Tech Mahindra,10,1401.7,"1,37,335.7",29.7,4.98,1.27,-6.07%,2.85%,"31 Dec, 2025"
Tata Elxsi,10,4632,"28,855.4",49.71,10.68,-1.76,-29.66%,3.85%,"31 Dec, 2025"
Nestle,10,1313.7,"2,53,322.7",77.67,57.13,-4.18,34.35%,0.42%,"31 Dec, 2025"
Cipla,10,1320.8,"1,06,691.7",23.47,3.24,-2.64,-49.98%,-6.79%,"31 Dec, 2025"
Bata,10,804,"10,333.6",58.08,6.78,-1.19,375.73%,17.89%,"31 Dec, 2025"
Shree Cements,11,26350,"95,072.6",53.05,4.24,1.14,-13.55%,0.83%,"31 Dec, 2025"
SAIL,11,157.75,"65,159",23.37,1.12,0.97,-10.67%,2.5%,"31 Dec, 2025"
Divi's Laboratories,11,6234,"1,65,493.1",66.76,10.74,3.35,-15.38%,-4.09%,"31 Dec, 2025"
Colgate-Palmolive,11,2195.1,"59,703.6",44.99,37.73,-4.88,-1.11%,-2.2%,"31 Dec, 2025"
Dr. Reddy's Labs,12,1308.7,"1,09,229.7",19.62,3.03,5.35,-10.18%,-0.85%,"31 Dec, 2025"
The Ramco Cements,13,1134.4,"26,805",46.59,3.55,0.87,398.56%,-5.94%,"31 Dec, 2025"
Asian Paints,14,2430,"2,33,085.1",60.61,11.91,-6.64,6.67%,3.94%,"31 Dec, 2025"
Wipro,15,201.37,"2,11,194.2",15.92,2.47,2.28,-3.92%,3.78%,"31 Dec, 2025"
IndusInd Bank,16,916,"71,363.4",-35.09,1.09,0.27,129.29%,-2.03%,"31 Dec, 2025"
