Stock,FC Est. No of bullish Est.,LTP,Market Cap,PE TTM,PBV Adjusted,PEG TTM,Net Profit QoQ Growth %,Revenue QoQ Growth %,Latest Financial Result
Shriram Finance,26,1083.8,"2,03,920",22.29,3.23,-7.72,9.31%,2.17%,"31 Dec, 2025"
Lupin,26,2317.1,"1,05,901.5",22.8,5.09,0.37,-20.46%,1.7%,"31 Dec, 2025"
L&T,26,4284,"6,02,612.2",37.07,5.73,2.23,-18.11%,5.1%,"31 Dec, 2025"
TVS Motor Company,27,3913,"1,85,901.6",64.22,20.63,1.38,5.76%,5.01%,"31 Dec, 2025"
Hindustan Unilever,27,2355.1,"5,53,352.3",38.13,10,1.09,146.07%,1.23%,"31 Dec, 2025"
Eternal,28,247.25,"2,38,604.9","1,032.92",7.7,-15.85,56.92%,20.05%,"31 Dec, 2025"
Bank of Baroda,28,323.2,"1,67,138.4",8.59,1.02,-1.82,6.03%,0.85%,"31 Dec, 2025"
TCS,30,2634.8,"9,53,293.7",19.98,8.14,-9.3,-11.74%,1.96%,"31 Dec, 2025"
Marico,30,793.35,"1,02,987.6",60.09,22.83,8.76,6.43%,1.58%,"31 Dec, 2025"
Bharti Airtel,30,1884.1,"10,92,811.4",35.96,8.66,1.53,-2.37%,3.52%,"31 Dec, 2025"
Crompton Greaves,31,257.97,"16,611.1",36.01,4.75,-2.97,38.13%,-0.9%,"31 Dec, 2025"
SBI,31,1204.4,"11,11,735.6",13.35,1.88,2.71,0.85%,1.99%,"31 Dec, 2025"
Infosys,31,1304.5,"5,29,025.8",18.91,4.81,16.19,-9.64%,2.22%,"31 Dec, 2025"
Godrej Consumer Products,31,1226.3,"1,25,480.5",68.88,9.91,0.14,8.4%,7.16%,"31 Dec, 2025"
HDFC Life Insurance,32,716.9,"1,54,679.5",81.83,8.9,9.99,-6.71%,42.5%,"31 Dec, 2025"
Ambuja Cements,32,503,"1,24,332.7",33.48,2.2,-2.56,-88.46%,12.01%,"31 Dec, 2025"
Maruti Suzuki,33,14977,"4,70,880.8",31.54,4.55,11.75,15.83%,17.85%,"31 Dec, 2025"
SBI Life Insurance,34,2044.6,"2,05,076.8",82.72,10.87,29.05,16.61%,99.58%,"31 Dec, 2025"
UltraTech Cement,34,12742,"3,75,480.2",49.03,5.09,2.17,40.1%,11.34%,"31 Dec, 2025"
Sun Pharmaceutical,34,1759,"4,22,043",38.67,5.2,-8.53,8.05%,7.2%,"31 Dec, 2025"
Reliance Industries,34,1405,"19,01,312.4",22.85,2.11,1.13,2.64%,4.04%,"31 Dec, 2025"
Mahindra & Mahindra,34,3445.3,"4,28,433",27.24,4.9,1.01,27.26%,13%,"31 Dec, 2025"
HDFC Bank,35,889.25,"13,68,506.4",18.37,2.44,2.59,1%,0.08%,"31 Dec, 2025"
Axis Bank,37,1389.4,"4,31,678.5",16.44,2.1,-2.41,26.82%,4.33%,"31 Dec, 2025"
ICICI Bank,38,1382.9,"9,89,778",18.69,2.86,3.48,-6.13%,0.38%,"31 Dec, 2025"
