Stock,FC Est. 3M Analysts Upgrade,LTP,Market Cap,PE TTM,PBV Adjusted,PEG TTM,Net Profit QoQ Growth %,Revenue QoQ Growth %,Latest Financial Result
OneSource Specialty Pharma,1,1148.5,"13,164.2",654.87,2.23,5.8,-945.96%,-22.73%,"31 Dec, 2025"
Brookfield Real Estate,1,365,"23,360.4",126.44,1.43,0.03,115.83%,3.09%,"31 Mar, 2025"
Mazagon Dock Shipbuilders,1,2413.6,"97,359.8",41.71,10.93,-4.53,65.76%,11.57%,"30 Sep, 2025"
Rossari Biotech,1,536.2,"2,969.7",21.57,2.37,18.07,-11.12%,-0.76%,"31 Dec, 2025"
Rajratan Global Wire,1,399.2,"2,026.8",28.97,3.36,3.03,0.68%,2.5%,"31 Dec, 2025"
Ugro Capital,1,150.06,"2,328.9",14.98,0.93,0.8,26.9%,10%,"30 Sep, 2025"
Kennametal,1,1950.05,"4,285.9",39.21,5.65,-5.05,0.32%,-8.47%,"30 Sep, 2025"
Garware Hi-Tech,1,3231.2,"7,506.9",24.39,2.99,-22.26,-38.87%,-19.48%,"31 Dec, 2025"
Vardhman Textiles,1,451,"13,044.6",16.35,1.28,-2.84,-11.06%,1.02%,"31 Dec, 2025"
TTK Prestige,1,559.4,"7,661",92.16,4.03,-1.52,-48.79%,-3.87%,"31 Dec, 2025"
Transformers & Rectifiers,1,228.86,"6,869.6",25.51,5.11,0.37,117.78%,60.15%,"31 Dec, 2025"
South Ind Bank,1,37.25,"9,749.6",7.01,1.04,0.61,6.51%,4.59%,"31 Dec, 2025"
Siemens,1,3087.1,"1,09,938",52.25,8.31,-2.32,14.66%,18.97%,"30 Sep, 2025"
Ramkrishna Forgings,1,507.9,"9,184.3",42.58,2.99,-0.8,242.88%,21.04%,"31 Dec, 2025"
MOIL,1,327.15,"6,657",22.91,2.46,-1.23,-24.87%,3.41%,"31 Dec, 2025"
Lumax Auto Tech,1,1367.1,"9,317.8",44.06,8.83,1.22,61.41%,12.66%,"30 Sep, 2025"
Jindal Steel,1,1122,"1,14,453.9",57.71,2.31,-1.12,-70.16%,11.47%,"31 Dec, 2025"
J B Chemicals,1,1857.8,"29,805.6",39.54,7.83,2.23,-4.78%,-1.86%,"31 Dec, 2025"
Centum Electronics,1,2325.1,"3,426.3",313.33,8.48,0.81,-5.47%,6.3%,"30 Sep, 2025"
Balaji Amines,1,1086.6,"3,520.7",24.56,1.87,-1.08,-11%,-2.72%,"31 Dec, 2025"
Mindspace REIT,2,488.84,"29,779.3",55.13,2.07,8.69,54.59%,5.45%,"31 Dec, 2025"
Prataap Snacks,2,1084.4,"2,591.7",-58.19,3.73,0.27,571.01%,5.08%,"30 Sep, 2025"
Shaily Engineering,2,1864.6,"8,568.3",58.62,13.48,0.59,24.63%,4.04%,"30 Sep, 2025"
