Stock,FC Est. 1Y fwd Dividend Yield %,LTP,Market Cap,PE TTM,PBV Adjusted,PEG TTM,Net Profit QoQ Growth %,Revenue QoQ Growth %,Latest Financial Result
Rites,4.19%,205.25,"9,864.4",23.5,3.59,3.5,36.83%,26.24%,"31 Mar, 2026"
ONGC,4.45%,278.9,"3,50,864",8.47,0.92,0.58,8.03%,3.81%,"31 Mar, 2026"
ITC,4.63%,294.2,"3,68,617",17.82,4.85,-0.44,9.26%,-11.09%,"31 Mar, 2026"
Castrol,4.7%,184.85,"18,283.9",19.07,9.62,12.69,-1.02%,7.31%,"31 Mar, 2026"
DB Corp,4.8%,208.2,"3,711.1",11.18,1.55,-1.06,-34.88%,-4.77%,"31 Mar, 2026"
Wipro,4.9%,202.71,"2,12,891.5",16.13,2.4,34.18,12.27%,2.89%,"31 Mar, 2026"
Gulf Oil Lubricants,4.9%,939,"4,648.8",13.28,2.69,-12.31,-10.67%,5.25%,"31 Dec, 2025"
UTI Asset Management,4.95%,952,"12,235.4",30.28,2.7,-0.68,-155.15%,-24.53%,"31 Mar, 2026"
Infosys,5.09%,1161.5,"4,71,146.2",16,4.29,1.57,27.76%,2.03%,"31 Mar, 2026"
Gateway Distriparks,5.48%,56.2,"2,808",10.98,1.2,-0.35,-10.7%,-4.78%,"31 Mar, 2026"
HCL Technologies,5.49%,1161.4,"3,15,165.1",18.94,4.18,-4.4,10.11%,0.32%,"31 Mar, 2026"
Gujarat Pipavav Port,5.49%,158,"7,638.4",15.74,3.06,0.41,-32.86%,-2.37%,"31 Dec, 2025"
Quess Corp,5.69%,207.5,"3,098.6",13.98,2.65,0.63,16.65%,-0.95%,"31 Mar, 2026"
TCS,5.72%,2271.3,"8,21,776.2",16.7,7.02,12.34,28.72%,5.38%,"31 Mar, 2026"
Mindspace REIT,5.75%,460.01,"28,023.1",42.99,1.96,1.17,10.25%,9.31%,"31 Mar, 2026"
Nexus Select Trust,5.84%,156.62,"23,727.9",51.27,1.58,-1.82,4.64%,5.73%,"30 Jun, 2025"
REC,5.91%,338.3,"89,082",5.46,1.02,2.05,-16.71%,-3.02%,"31 Mar, 2026"
Alembic,5.93%,87.65,"2,250.7",7.09,0.88,3.28,11.64%,-19.24%,"31 Mar, 2026"
Coal India,6.2%,438.45,"2,70,204.8",8.69,2.41,-0.72,51.44%,33.12%,"31 Mar, 2026"
Embassy Office Parks REIT,6.46%,435.37,"41,268.5",-,1.72,-,-212.8%,0.94%,"31 Mar, 2026"
Brookfield Real Estate,6.57%,320.1,"20,486.7",-,1.26,-,29.3%,2.95%,"31 Dec, 2025"
R Systems Intl,6.77%,266.05,"3,152.3",14.8,5.05,0.3,79.67%,3.54%,"31 Mar, 2026"
JSW Dulux,7.78%,2893.4,"13,251.2",6.71,5.69,0.02,69.18%,4.45%,"31 Mar, 2026"
Jagran Prakashan,8.6%,69.76,"1,518.4",9.25,0.76,-2.89,-7.69%,2%,"31 Dec, 2025"
Vedanta,8.67%,352.75,"1,37,938.9",7.93,2.88,0.49,17.3%,5.31%,"31 Mar, 2026"
