Stock,FC Est. 12Mth Upside %,LTP,Market Cap,PE TTM,PBV Adjusted,PEG TTM,Net Profit QoQ Growth %,Revenue QoQ Growth %,Latest Financial Result
ISGEC Heavy Engg,110.19%,896.8,"6,594.1",27.81,2.3,-5.64,58.77%,2.81%,"31 Dec, 2025"
Landmark Cars,110.85%,357.95,"1,484.2",62.63,2.58,-11.29,"1,094.61%",11.08%,"31 Dec, 2025"
Parag Milk Foods,118.52%,196.78,"2,458.6",19.06,1.99,0.73,-35.22%,0.47%,"31 Dec, 2025"
One Mobikwik Systems,121.07%,180.94,"1,423.3",-11.62,2.7,0.14,114.15%,6.93%,"31 Dec, 2025"
eMudhra,121.53%,414.4,"3,431.7",33.41,4.07,1.3,13.42%,8.75%,"31 Dec, 2025"
Zaggle Prepaid Ocean,121.91%,216.3,"2,908.3",22.61,2.16,0.33,4.01%,21.59%,"31 Dec, 2025"
Paisalo Digital,124.89%,33.35,"3,033.3",14.36,1.75,1.31,28.55%,7.16%,"31 Dec, 2025"
Epigral,130.69%,866.95,"3,740.1",11.07,1.75,-3.79,-23.64%,1.66%,"31 Dec, 2025"
Dish TV,136.22%,2.54,467.7,-0.52,-0.12,-0.01,-108.24%,2.72%,"31 Dec, 2025"
Ugro Capital,141.91%,100.45,"1,559.9",12.54,0.62,-1.46,-85.28%,-10.21%,"31 Dec, 2025"
Bodal Chemicals,142.85%,44.06,554.9,18.33,0.49,0.05,-95.96%,1.9%,"31 Dec, 2025"
Puravankara,143.44%,181.15,"4,296",-31.74,2.56,0.93,243.43%,65.99%,"31 Dec, 2025"
Himatsingka Seide,144.73%,85.81,"1,079",14.88,0.51,-0.85,-81.77%,-2.89%,"31 Dec, 2025"
HG Infra Engineering,147.02%,479.35,"3,124",7.96,0.98,-0.28,80.7%,57.12%,"31 Dec, 2025"
Patel Engineering,149.3%,24.87,"2,467.5",9.36,0.61,-0.38,-2%,2.56%,"31 Dec, 2025"
GMM Pfaudler,155.38%,861.45,"3,872.8",219.55,3.32,-2.59,-119.29%,-2.09%,"31 Dec, 2025"
Awfis Space Solutions,158.57%,253.15,"1,811.1",30.78,3.48,21.68,35.57%,4.07%,"31 Dec, 2025"
OCCL,179.21%,77.72,388.2,10.48,0.93,0.05,-24.93%,-4.57%,"31 Dec, 2025"
Easy Trip Planners,191.67%,7.2,"2,618.5",-257.7,3.02,2.27,117.9%,28.16%,"31 Dec, 2025"
Gujarat Industries,193.98%,130.96,"2,032.7",13.99,0.58,-0.46,-115.04%,15.11%,"31 Dec, 2025"
Embassy Developments,202.64%,54.85,"7,627.6",-18.06,0.76,0.37,-52.56%,-56.93%,"31 Dec, 2025"
AGI Greenpac,210.84%,489,"3,163.7",9.5,1.38,-,-5.96%,5.34%,"31 Dec, 2025"
Tarsons Products,218.11%,191.76,"1,020.3",50.15,1.62,-1.57,51.6%,5.44%,"31 Dec, 2025"
Sterling Tools,223.22%,195.53,710.6,19.44,1.34,-0.44,-90.9%,-0.99%,"31 Dec, 2025"
Allcargo Logistics,442.27%,7.5,737.1,-6.33,0.85,0.02,100%,-3.91%,"31 Dec, 2025"
