Stock,FC Est. Capex Growth YoY %,LTP,Market Cap,PE TTM,PBV Adjusted,PEG TTM,Net Profit QoQ Growth %,Revenue QoQ Growth %,Latest Financial Result
Welspun Enterprises,436.67%,492.5,"6,816.9",22.74,2.54,34.2,-73.43%,0.39%,"31 Dec, 2025"
NIIT Learning,490.6%,348.95,"4,793.4",21.86,3.59,-3.67,58.3%,5.04%,"31 Dec, 2025"
HEG,492.05%,567,"10,941.8",28.68,2.35,0.4,44.4%,-6.13%,"31 Dec, 2025"
Indraprastha Medical,533.09%,408,"3,740.3",20.45,5.68,0.97,-17.1%,-2.47%,"31 Dec, 2025"
Quess Corp,565.54%,200.1,"2,985.6",48.16,2.68,-0.58,6.56%,2.56%,"31 Dec, 2025"
Nuvoco Vistas,619.8%,331.5,"11,839.7",30.82,1.29,0.03,34.64%,9.92%,"31 Dec, 2025"
Lloyds Metals & Energy,720.92%,1144,"62,366.8",25.32,8.09,0.41,82.99%,38.53%,"31 Dec, 2025"
Just Dial,746.86%,588.5,"5,004.9",9.02,1.02,3.95,-1.26%,0.86%,"31 Dec, 2025"
Torrent Pharma,779.98%,4326.3,"1,46,421.6",64.45,17.33,2.93,7.45%,0.03%,"31 Dec, 2025"
MphasiS,842.44%,2250.3,"42,773",23.77,4.45,2.6,-5.73%,2.58%,"31 Dec, 2025"
DLF,880.55%,621.25,"1,53,778.7",34.73,3.58,3.3,1.97%,22.96%,"31 Dec, 2025"
Gateway Distriparks,921.01%,59.55,"2,975.4","1,509.89",1.31,-15.15,1.31%,-1.22%,"31 Dec, 2025"
Tilaknagar Industries,993.29%,449.05,"11,099.2",98.11,5.47,-2.55,-300.1%,66.68%,"31 Dec, 2025"
Privi Speciality,"1,017.55%",2975.9,"11,624.7",38.7,9.37,0.4,-16.95%,-10.91%,"31 Dec, 2025"
ICRA,"1,077.68%",5676.5,"5,478.5",29.65,5.04,2.04,-18.81%,19.78%,"31 Dec, 2025"
Spicejet,"1,115.71%",15.49,"1,985.3",-2.56,-0.68,0.01,57.93%,77.72%,"31 Dec, 2025"
Maharashtra Seamless,"1,192.55%",527.75,"7,071.8",8.41,1.08,0.73,93.88%,-5.9%,"31 Dec, 2025"
PNC Infratech,"1,213.13%",213.55,"5,478.4",6.85,0.83,-0.23,-64.43%,6.48%,"31 Dec, 2025"
Indegene,"1,284%",475.8,"11,446.3",26.07,3.99,1.82,0.78%,17.15%,"31 Dec, 2025"
Anant Raj,"1,899.54%",543.05,"19,543.1",37.09,4.44,1.01,4.44%,1.71%,"31 Dec, 2025"
MPS,"2,200.64%",1557.1,"2,663.5",15.37,5.43,0.47,-35.97%,-6.15%,"31 Dec, 2025"
Puravankara,"2,290.93%",219.59,"5,207.6",-38.47,3.22,1.13,243.43%,65.99%,"31 Dec, 2025"
Nitin Spinners,"2,656.01%",384.3,"2,160.5",12.97,1.58,-13.02,27.68%,5.34%,"31 Dec, 2025"
Brookfield Real Estate,"3,834.86%",353.22,"22,606.5",122.36,1.39,0.03,115.83%,3.09%,"31 Mar, 2025"
360 One Wam,"4,335.92%",1122.5,"45,521",38.67,4.87,2.31,3.74%,5.97%,"31 Dec, 2025"
