Stock,FC Est. 1Y fwd EPS Growth Ann. %,LTP,Market Cap,PE TTM,PBV Adjusted,PEG TTM,Net Profit QoQ Growth %,Revenue QoQ Growth %,Latest Financial Result
Easy Trip Planners,233.33%,6.68,"2,429.4",137.87,2.81,-1.72,"-2,569.79%",4%,"30 Sep, 2025"
Landmark Cars,245.24%,412.45,"1,710.2",81.93,3.04,-2.36,-82.82%,14.05%,"30 Sep, 2025"
GMR Power & Urban Infra,247.45%,106.93,"8,351.4",10.21,5.79,-0.2,"11,489.62%",9.82%,"30 Sep, 2025"
TARC,260.71%,154.18,"4,549.8",-48.04,4.21,-0.99,-129.05%,-90.95%,"30 Sep, 2025"
Prataap Snacks,263.5%,1125.3,"2,689.5",-60.39,3.87,0.28,571.01%,5.08%,"30 Sep, 2025"
The Ramco Cements,272.75%,1133,"26,771.9",71.94,3.54,2.08,-9.04%,7.94%,"30 Sep, 2025"
Orient Cement,282.02%,163.49,"3,359.1",10.36,1.63,0.06,-43.37%,-1.12%,"31 Dec, 2025"
HEG,283.81%,545.2,"10,521.1",40.8,2.25,0.98,36.73%,13.34%,"30 Sep, 2025"
Chennai Petroleum,298.28%,882.3,"13,138.5",6.11,1.49,0.01,39.27%,-3.95%,"31 Dec, 2025"
IIFL Finance,342.5%,529.75,"22,526.5",17.58,1.74,0.13,23.38%,3.7%,"31 Dec, 2025"
Chalet Hotels,404.6%,885.1,"19,379.6",31.98,5.67,0.06,-19.86%,-20.89%,"31 Dec, 2025"
V-Mart Retail,410.62%,611.4,"4,858.1",37.02,5.74,0.03,"1,092%",39.6%,"31 Dec, 2025"
Arvind Fashions,502.34%,498.85,"6,667.4",-379.91,6.71,3.2,-31.74%,-2.89%,"31 Dec, 2025"
Signatureglobal,512.03%,856.45,"12,034","3,630.1",16.55,-37.85,3.25%,-15.97%,"31 Dec, 2025"
Poonawalla Fincorp,574.8%,405.35,"32,943.6",94.3,3.34,0.9,102.45%,17.9%,"31 Dec, 2025"
Ceat,598.31%,3948.7,"15,972.5",28.85,3.49,1.93,-16.23%,10.19%,"31 Dec, 2025"
Tatva Chintan Pharma,668.44%,1221.1,"2,856.4",87.18,3.79,0.68,52.92%,6.33%,"31 Dec, 2025"
Apex Frozen Foods,867.74%,392,"1,225",53.93,2.41,0.14,30.48%,-7.67%,"30 Sep, 2025"
Indostar Capital,950.94%,210.2,"3,395.5",5.48,0.84,0.01,-98.08%,3.8%,"30 Sep, 2025"
BlackBuck,"1,137.14%",614.5,"11,152.6",37.8,8.49,0.21,-13.36%,5.24%,"30 Sep, 2025"
TVS Supply Chain,"1,196.77%",101.99,"4,499.6",79.5,2.31,0.88,-77.77%,2.71%,"30 Sep, 2025"
Nuvoco Vistas,"1,827.87%",345.3,"12,332.6",32.1,1.34,0.03,34.64%,9.92%,"31 Dec, 2025"
Centum Electronics,"2,328.57%",2351.6,"3,465.4",316.91,8.57,0.82,-5.47%,6.3%,"30 Sep, 2025"
Mangalore Refinery,"5,486.21%",187.88,"32,927.8",15.12,2.47,0.09,131.27%,9.11%,"31 Dec, 2025"
Solara Active Pharma,"23,114.29%",532.05,"2,367",369.27,1.89,3.65,-196.01%,-1.76%,"30 Sep, 2025"
