Stock,FC Est. 1Y fwd Ann. Revenue Growth %,LTP,Market Cap,PE TTM,PBV Adjusted,PEG TTM,Net Profit QoQ Growth %,Revenue QoQ Growth %,Latest Financial Result
V2 Retail,55.32%,1980.2,"7,220.6",48.01,18.57,0.41,492.35%,31.12%,"31 Dec, 2025"
Anupam Rasayan,55.96%,1266.5,"14,418.9",83.81,4.51,0.72,10.47%,-29.94%,"31 Dec, 2025"
Ventive Hospitality,56.12%,690.4,"16,123.7",49.77,3.24,0.13,121.82%,40.09%,"31 Dec, 2025"
Paradeep Phosphates,57.01%,117.04,"12,148.4",12.93,1.82,0.1,-46.76%,-16.35%,"31 Dec, 2025"
Thangamayil Jewellery,57.39%,3597.1,"11,186.2",46.53,9.58,0.43,79.08%,40.87%,"31 Dec, 2025"
Suzlon Energy,59.6%,43.9,"60,207.1",18.63,7.66,0.1,-65.2%,9.44%,"31 Dec, 2025"
Senores Pharmaceuticals,60.21%,784.35,"3,612.2",35.55,4.44,0.55,-2.22%,7.91%,"31 Dec, 2025"
Puravankara,63.22%,219.59,"5,207.6",-38.47,3.22,1.13,243.43%,65.99%,"31 Dec, 2025"
Prestige Estates,64.7%,1471.3,"63,373.3",65.31,4,0.98,-48.27%,59.25%,"31 Dec, 2025"
RateGain Travel,66.6%,529.15,"6,250.5",34.88,3.44,-2.85,-48.14%,83.02%,"31 Dec, 2025"
ideaForge Technology,73.12%,406.55,"1,759.4",-17.13,3.09,0.06,-72.55%,-22.61%,"31 Dec, 2025"
Mahindra Lifespace,77.6%,368.15,"7,854.2",26.8,2.29,0.05,127.31%,"2,514.81%","31 Dec, 2025"
JSW Energy,79.21%,484.65,"85,167.2",37.42,2.92,1.86,-40.41%,-21.16%,"31 Dec, 2025"
Waaree Energies,80.14%,2930.4,"84,290.3",25.78,7.34,0.28,26.1%,24.72%,"31 Dec, 2025"
AvenuesAI,84.81%,17.98,"5,657.3",22.74,1.36,2.28,8.06%,21.19%,"31 Dec, 2025"
Tilaknagar Industries,85.15%,449.05,"11,099.2",98.11,5.47,-2.55,-300.1%,66.68%,"31 Dec, 2025"
Genus Power,85.46%,258.45,"7,862.5",14.46,4.12,0.09,-1.91%,-2.32%,"31 Dec, 2025"
Multi Commodity Exchange,86.76%,2402,"61,249",65.35,29.34,0.79,103.13%,77.86%,"31 Dec, 2025"
Netweb Technologies,106.61%,3527.5,"20,085.8",112.7,34.71,1.48,133.23%,165.02%,"31 Dec, 2025"
PTC Industries,119.43%,17742,"26,599.7",401.68,18.78,13.65,1.19%,24.8%,"31 Dec, 2025"
Eternal,172.87%,259.8,"2,50,716.1","1,085.35",8.12,-16.66,56.92%,20.05%,"31 Dec, 2025"
Sudarshan Chemical,181.1%,890.95,"7,003.9",-115.77,1.99,0.77,"-1,085.47%",-11.91%,"31 Dec, 2025"
Lloyds Metals & Energy,196.09%,1144,"62,366.8",25.32,8.09,0.41,82.99%,38.53%,"31 Dec, 2025"
Hubtown,204.31%,205,"2,913.1",22.55,1.12,0.06,-7.15%,-57.99%,"31 Dec, 2025"
TARC,"2,767.44%",150.66,"4,445.9",-51.06,4.11,-1,-33.44%,458.57%,"31 Dec, 2025"
