Stock,FC Est. 1Y fwd EPS Growth Ann. %,LTP,Market Cap,PE TTM,PBV Adjusted,PEG TTM,Net Profit QoQ Growth %,Revenue QoQ Growth %,Latest Financial Result
Jupiter Wagons,-38.22%,293.9,"12,560.4",51.16,4.39,-1.42,35.3%,13.3%,"31 Dec, 2025"
Dixon Technologies,-38.27%,11826,"72,240.2",50.21,16.5,1.6,-10.74%,-1.51%,"31 Mar, 2026"
Unimech Aerospace,-39.17%,955.5,"4,859.4",73.2,6.86,-7.13,-84.77%,-45.6%,"31 Dec, 2025"
Indian Hume Pipe Company,-40.51%,317.5,"1,672.7",11.85,1.14,-0.16,-62.64%,24.55%,"31 Mar, 2026"
Indo Count,-44.69%,307.25,"6,085.2",54.11,2.61,-0.83,-37.4%,0.07%,"31 Dec, 2025"
Ambuja Cements,-45.71%,440.5,"1,08,883.8",23.74,1.92,2.4,798.45%,5.98%,"31 Mar, 2026"
Bharat Petroleum,-51.35%,307.1,"1,33,235.5",5.16,1.32,0.05,-21.76%,-0.28%,"31 Mar, 2026"
Vedanta,-54.68%,332.3,"1,29,942.2",7.47,2.71,0.47,17.3%,5.31%,"31 Mar, 2026"
Praj Industries,-56.44%,394.65,"7,254.2",112.58,5.63,-1.48,-100.01%,-0.02%,"31 Dec, 2025"
Samhi Hotels,-58.06%,159.9,"3,551.9",7.06,1.94,0.01,792.95%,2.1%,"31 Mar, 2026"
Indian Oil,-67.35%,143.76,"2,03,006.9",4.82,0.96,0.02,11.16%,1.53%,"31 Mar, 2026"
InterGlobe Aviation,-75.04%,4502.3,"1,74,084.1",54.2,18.96,-1.15,121.3%,26.5%,"31 Dec, 2025"
Hikal,-78.26%,211.97,"2,613.6",-201.05,2.2,1.71,83.09%,55.2%,"31 Dec, 2025"
Sudarshan Chemical,-79.47%,1032,"8,114.4",-134.12,2.39,0.89,"-1,085.47%",-11.91%,"31 Dec, 2025"
KNR Constructions,-83.45%,133.8,"3,762.9",8,0.77,-0.13,-1.77%,14.96%,"31 Dec, 2025"
Nazara Technologies,-83.72%,290.15,"10,749",132.85,3.16,21.4,377.24%,-2.02%,"31 Mar, 2026"
Orchid Pharma,-88.3%,705,"3,575.7",189.51,2.83,-2.29,-120.38%,7.1%,"31 Dec, 2025"
Camlin Fine Sciences,-97.37%,122.79,"2,358.6",-38.48,2.76,-0.54,-151.88%,-0.57%,"31 Dec, 2025"
Allcargo Logistics,-100%,8.87,"1,328.5",-15.83,1.37,0.05,-,-0.39%,"31 Mar, 2026"
Max Estates,-120.62%,440.95,"7,209",491.8,3.13,-7.67,"-16,226.48%",-0.68%,"31 Mar, 2026"
Hindustan Petroleum,-132.79%,403.15,"85,783.2",4.75,1.41,0.03,51.2%,-0.19%,"31 Mar, 2026"
Chemplast Sanmar,-167.34%,241.33,"3,815.7",-13.22,2.08,0.06,-133.54%,-19.17%,"31 Dec, 2025"
Centum Electronics,"-1,010.05%",3206.3,"4,732.2",-92.06,13.81,0.04,102.66%,2.71%,"31 Mar, 2026"
Spicejet,"-2,140%",13.34,"1,709.8",-2.21,-0.54,0.01,57.93%,77.72%,"31 Dec, 2025"
Sagar Cements,"-10,783.33%",182.76,"2,388.8",-215.79,1.48,-2.28,252.14%,33.26%,"31 Mar, 2026"
