Stock,FC Est. Ann. EPS Surprise %,LTP,Market Cap,PE TTM,PBV Adjusted,PEG TTM,Net Profit QoQ Growth %,Revenue QoQ Growth %,Latest Financial Result
Signatureglobal,-54.67%,1068.05,"15,007.3","4,526.98",20.64,-47.2,3.25%,-15.97%,"31 Dec, 2025"
Tejas Networks,-55%,329.95,"5,860.1",-7.62,1.77,0.04,36%,17.18%,"31 Dec, 2025"
VIP Industries,-56.18%,379.3,"5,388",-22.79,11.62,0.09,63.06%,11.76%,"31 Dec, 2025"
HEG,-58%,547.85,"10,572.3",27.72,2.27,0.38,44.4%,-6.13%,"31 Dec, 2025"
Raymond Lifestyle,-58.84%,948,"5,775.6",108.4,0.6,-1.3,-43%,0.89%,"31 Dec, 2025"
TARC,-60%,158.43,"4,675.2",-53.7,4.32,-1.05,-33.44%,458.57%,"31 Dec, 2025"
IRM Energy,-61.9%,242.85,997.1,22.23,1.03,-2.24,11.32%,2.16%,"31 Dec, 2025"
Chemplast Sanmar,-64.76%,293.15,"4,635",-16.06,2.37,0.07,-133.54%,-19.17%,"31 Dec, 2025"
Landmark Cars,-65.13%,432.7,"1,794.2",75.71,3.19,-13.65,"1,094.61%",11.08%,"31 Dec, 2025"
Indoco Remedies,-67.84%,202.4,"1,868.2",-16.4,1.91,0.02,-275.66%,-8.11%,"31 Dec, 2025"
Easy Trip Planners,-70%,9.77,"3,553.2",-349.68,4.11,3.09,117.9%,28.16%,"31 Dec, 2025"
Ceat,-80.15%,3883.3,"15,708",28.37,3.44,1.9,-16.23%,10.19%,"31 Dec, 2025"
Devyani Intl,-84%,133.3,"16,435.1",-379.34,10.58,1.28,52.53%,4.66%,"31 Dec, 2025"
Hindware Home Innovation,-91.32%,237.95,"1,990.4",-38.57,2.64,0.83,-27.85%,-5.36%,"31 Dec, 2025"
Solara Active Pharma,-99.21%,482.95,"2,148.6",-112.43,1.71,-1.22,-72.57%,11.31%,"31 Dec, 2025"
United Foodbrands,-104.9%,256.54,"1,002.7",-15.2,3.06,0.02,68.07%,23.56%,"31 Dec, 2025"
PVR INOX,-130.05%,1030.75,"10,122",451.87,1.42,4.19,-9.46%,3.12%,"31 Dec, 2025"
Arvind Fashions,-137.65%,483.3,"6,459.6",-368.07,6.5,3.1,-31.74%,-2.89%,"31 Dec, 2025"
GMR Power & Urban Infra,-141.91%,104.16,"8,135.1",10.76,5.64,-0.21,-118.97%,3.24%,"31 Dec, 2025"
Poonawalla Fincorp,-180.38%,477.6,"38,815.5",111.11,3.93,1.07,102.45%,17.9%,"31 Dec, 2025"
TVS Supply Chain,-210%,123.18,"5,434.5",59.09,2.79,0.03,-31.46%,2%,"31 Dec, 2025"
Prataap Snacks,-336.3%,1075,"2,569.6",-764.7,3.7,-11.54,-29.97%,6.87%,"31 Dec, 2025"
Muthoot Microfin,-422.8%,187.44,"3,195.7",-10.58,1.18,0.05,104.6%,4.59%,"31 Dec, 2025"
Puravankara,-490.77%,232.49,"5,513.5",-40.74,3.41,1.2,243.43%,65.99%,"31 Dec, 2025"
Dish TV,-912%,3.12,574.5,-0.63,-0.17,-0.01,-108.24%,2.72%,"31 Dec, 2025"
