Stock,FC Est. Ann. Net Income Surprise %,LTP,Market Cap,PE TTM,PBV Adjusted,PEG TTM,Net Profit QoQ Growth %,Revenue QoQ Growth %,Latest Financial Result
HEG,-57.88%,534.3,"10,310.8",27.03,2.21,0.37,44.4%,-6.13%,"31 Dec, 2025"
IRM Energy,-61.95%,248.21,"1,019.1",22.72,1.05,-2.29,11.32%,2.16%,"31 Dec, 2025"
Signatureglobal,-62.03%,1039.85,"14,611","4,407.45",20.1,-45.95,3.25%,-15.97%,"31 Dec, 2025"
Indoco Remedies,-62.67%,206.12,"1,902.6",-16.7,1.94,0.02,-275.66%,-8.11%,"31 Dec, 2025"
Gopal Snacks,-62.89%,300.45,"3,745.1",892.74,8.63,-9.39,-39.7%,6.68%,"31 Dec, 2025"
Sudarshan Chemical,-64.51%,931.8,"7,325.1",-121.08,2.08,0.8,"-1,085.47%",-11.91%,"31 Dec, 2025"
Chemplast Sanmar,-65.95%,324,"5,122.8",-17.75,2.62,0.08,-133.54%,-19.17%,"31 Dec, 2025"
Landmark Cars,-68.52%,426.5,"1,768.5",74.62,3.15,-13.45,"1,094.61%",11.08%,"31 Dec, 2025"
Varroc Engineering,-68.56%,565,"8,632.4",48.97,5.13,0.61,-116.89%,3.63%,"31 Dec, 2025"
VIP Industries,-76.34%,387.6,"5,505.9",-28.09,11.87,0.09,-992.67%,-27.62%,"30 Sep, 2025"
Devyani Intl,-81.63%,133.02,"16,400.6",-378.54,10.56,1.28,52.53%,4.66%,"31 Dec, 2025"
Quess Corp,-88.15%,206,"3,073.6",49.58,2.76,-0.6,6.56%,2.56%,"31 Dec, 2025"
Astec Lifesciences,-89.52%,621.3,"1,384.4",-15.51,3.34,-0.61,35.75%,69.18%,"31 Dec, 2025"
SIS,-96.32%,331.5,"4,681.9",-24.9,1.86,0.14,-271.4%,11.35%,"31 Dec, 2025"
Solara Active Pharma,-99.37%,490.4,"2,181.7",-114.17,1.74,-1.24,-72.57%,11.31%,"31 Dec, 2025"
Arvind Fashions,-137.68%,491.8,"6,573.2",-374.54,6.62,3.16,-31.74%,-2.89%,"31 Dec, 2025"
One97 Communications,-140.96%,1133.1,"72,499",-423.23,4.73,-5.69,971.43%,6.45%,"31 Dec, 2025"
ABREL,-208.13%,1404.7,"15,689.9",-64.02,4.15,0.08,-362.83%,-17.04%,"31 Dec, 2025"
TVS Supply Chain,-208.86%,134.89,"5,951.1",64.71,3.05,0.03,-31.46%,2%,"31 Dec, 2025"
United Foodbrands,-212.25%,249.31,974.5,-14.78,2.97,0.02,68.07%,23.56%,"31 Dec, 2025"
Hindware Home Innovation,-396.65%,244.39,"2,044.2",-39.62,2.71,0.85,-27.85%,-5.36%,"31 Dec, 2025"
Muthoot Microfin,-427.3%,192.86,"3,288.1",-10.89,1.22,0.05,104.6%,4.59%,"31 Dec, 2025"
Puravankara,-479.21%,273.8,"6,493.2",-47.97,4.01,1.41,243.43%,65.99%,"31 Dec, 2025"
Poonawalla Fincorp,-487.93%,472.35,"38,388.9",109.89,3.89,1.05,102.45%,17.9%,"31 Dec, 2025"
Dish TV,-946.93%,3.28,603.9,-0.67,-0.17,-0.01,-108.24%,2.72%,"31 Dec, 2025"
