Stock,FC Est. Ann. Revenue Surprise %,LTP,Market Cap,PE TTM,PBV Adjusted,PEG TTM,Net Profit QoQ Growth %,Revenue QoQ Growth %,Latest Financial Result
ideaForge Technology,-11.27%,433.5,"1,875.7",-18.26,3.3,0.06,-72.55%,-22.61%,"31 Dec, 2025"
IRIS Clothings,-11.41%,32.94,627,46.09,4.74,2.9,56.56%,18.52%,"30 Sep, 2025"
Inox Wind,-11.64%,103.62,"17,908",35.39,2.75,0.22,-13.35%,35.45%,"30 Sep, 2025"
IndusInd Bank,-11.74%,895,"69,727.3",-34.29,1.06,0.27,129.29%,-2.03%,"31 Dec, 2025"
JNK,-11.76%,214.66,"1,201.1",39.73,2.32,-0.79,"1,055.55%",79.88%,"30 Sep, 2025"
India Cements,-12.07%,454.05,"14,070.9",-125.54,1.4,-2.57,-130.31%,-0.25%,"31 Dec, 2025"
Mazagon Dock Shipbuilders,-12.09%,2392.1,"96,492.5",41.34,10.83,-4.49,65.76%,11.57%,"30 Sep, 2025"
Sterling Tools,-12.95%,236.4,855.4,17.61,1.62,-0.68,91.19%,8.24%,"30 Sep, 2025"
Jio Financial,-14.69%,240,"1,52,475.4",95.01,1.13,-658.48,-61.3%,-8.2%,"31 Dec, 2025"
Max Estates,-15.35%,377.2,"6,164.6",110.48,2.68,0.02,-36.54%,-5.25%,"30 Sep, 2025"
Solara Active Pharma,-16.44%,496.1,"2,207.1",344.32,1.76,3.4,-196.01%,-1.76%,"30 Sep, 2025"
Mishra Dhatu Nigam,-16.56%,351,"6,575.6",61.08,4.56,2.78,-0.07%,23.01%,"30 Sep, 2025"
Max Healthcare,-17.42%,947.25,"92,167.6",67.92,9.17,2.41,59.53%,5.32%,"30 Sep, 2025"
Puravankara,-18.18%,229.35,"5,439",-18.91,3.36,0.04,38.25%,22.85%,"30 Sep, 2025"
Ventive Hospitality,-20.19%,727.75,"16,996",71.78,3.41,0.38,95.18%,-3.57%,"30 Sep, 2025"
DCX Systems,-23.07%,167.2,"1,862.4",72.38,1.28,-1.37,-322.77%,-13.19%,"30 Sep, 2025"
Prestige Estates,-23.11%,1457.2,"62,766",64.68,3.97,0.97,-48.27%,59.25%,"31 Dec, 2025"
Sterlite Tech,-25.14%,109.3,"5,335",-124.07,2.6,-1.67,-525%,21.57%,"31 Dec, 2025"
PTC Industries,-25.14%,17699,"26,535.2",427.22,18.73,11.24,251.82%,28.29%,"30 Sep, 2025"
Signatureglobal,-27.31%,892.85,"12,545.5",161.32,17.26,3.71,-236.15%,-60.9%,"30 Sep, 2025"
Sunteck Realty,-28.62%,394.3,"5,790",30.31,1.74,-5.95,18.89%,36.36%,"31 Dec, 2025"
Quess Corp,-29.63%,203.51,"3,036.4",48.98,2.72,-0.59,6.56%,2.56%,"31 Dec, 2025"
Astec Lifesciences,-38.91%,571.7,"1,273.8",-14.27,3.08,-0.56,35.75%,69.18%,"31 Dec, 2025"
Mahindra Lifespace,-39.91%,370.6,"7,905.4",48.88,2.31,1.41,-6.52%,-45.07%,"30 Sep, 2025"
TARC,-83.16%,149.16,"4,401.7",-46.47,4.07,-0.96,-129.05%,-90.95%,"30 Sep, 2025"
