Stock,FC Est. Qtr EPS Surprise %,LTP,Market Cap,PE TTM,PBV Adjusted,PEG TTM,Net Profit QoQ Growth %,Revenue QoQ Growth %,Latest Financial Result
Thyrocare Tech,-74.51%,405.7,"6,457.2",46.92,12.09,0.82,-39.55%,-9.7%,"31 Dec, 2025"
Sudarshan Chemical,-77.44%,931.8,"7,325.1",-121.08,2.08,0.8,"-1,085.47%",-11.91%,"31 Dec, 2025"
Dilip Buildcon,-77.9%,435.95,"7,081.8",5.02,1.23,0.03,357.24%,11.01%,"31 Dec, 2025"
Computer Age Mgmt,-79.72%,724.3,"17,954.6",38.73,14.75,45.4,9.22%,3.56%,"31 Dec, 2025"
The Ramco Cements,-81.67%,1143.4,"27,017.7",46.96,3.57,0.87,398.56%,-5.94%,"31 Dec, 2025"
Syngene Intl,-82.38%,428.65,"17,272",49.05,3.65,-1.65,-77.65%,0.71%,"31 Dec, 2025"
Sobha,-86.91%,1511,"16,158.6",113.45,3.5,0.85,-78.73%,-33%,"31 Dec, 2025"
Prudent Corporate,-87.49%,2640.4,"10,933",50.93,14.34,3.66,7.64%,7.32%,"31 Dec, 2025"
PCBL,-90%,303.6,"11,945.5",46.34,3.08,-1.1,-96.7%,-14.7%,"31 Dec, 2025"
Kolte-Patil Developers,-93.2%,368,"3,263.4",77.02,2.67,0.39,143.14%,91.35%,"31 Dec, 2025"
Max Estates,-100%,411.85,"6,731.5",186.57,2.92,2.92,-99.65%,2.05%,"31 Dec, 2025"
Prince Pipes,-104.48%,267.77,"2,960.5",71.76,1.86,-1.63,-116.23%,-3.58%,"31 Dec, 2025"
Adani Green Energy,-106.97%,954.5,"1,57,223",105.87,8.05,11.93,-107.03%,-12.97%,"31 Dec, 2025"
Camlin Fine Sciences,-132.22%,169.35,"3,253",-111.38,3.66,-1.28,-44.41%,8.56%,"30 Sep, 2025"
Tata Chemicals,-142.93%,693.7,"17,672.4",98.18,0.79,0.74,-220.78%,-8.43%,"31 Dec, 2025"
GMR Airports,-150%,94.31,"99,581.7",-453.72,-36.43,-6.09,82.47%,14.5%,"30 Sep, 2025"
Signatureglobal,-151.11%,1039.85,"14,611","4,407.45",20.1,-45.95,3.25%,-15.97%,"31 Dec, 2025"
Apollo Pipes,-151.43%,322.85,"1,422.1",87.41,1.73,-1.93,-301.39%,4.86%,"31 Dec, 2025"
Bajaj Electricals,-169.33%,377,"4,350.1",121.78,2.54,-1.86,-445.84%,-5.08%,"31 Dec, 2025"
Orchid Pharma,-260%,668.5,"3,390.6",179.7,2.66,-2.17,-120.38%,7.1%,"31 Dec, 2025"
Zydus Wellness,-453.33%,406.5,"12,933.2",62.45,2.27,-1.72,24.43%,48.33%,"31 Dec, 2025"
OneSource Specialty Pharma,-457.5%,1195.4,"13,701.8",681.61,2.32,6.04,-945.96%,-22.73%,"31 Dec, 2025"
VIP Industries,-765%,387.6,"5,505.9",-28.09,11.87,0.09,-992.67%,-27.62%,"30 Sep, 2025"
Piramal Pharma,-800%,166.54,"22,137.3",-135.3,2.74,0.26,-37.26%,4.7%,"31 Dec, 2025"
ABREL,"-1,149.33%",1404.7,"15,689.9",-64.02,4.15,0.08,-362.83%,-17.04%,"31 Dec, 2025"
