Stock,FC Est. Qtr Net Income Surprise %,LTP,Market Cap,PE TTM,PBV Adjusted,PEG TTM,Net Profit QoQ Growth %,Revenue QoQ Growth %,Latest Financial Result
TVS Supply Chain,-64.03%,121.4,"5,355.9",58.24,2.73,0.03,-31.46%,2%,"31 Dec, 2025"
Gujarat Industries,-65.25%,156.99,"2,436.7",16.77,0.69,-0.56,-115.04%,15.11%,"31 Dec, 2025"
Bharat Dynamics,-66.03%,1319.9,"48,382.6",83.43,11.28,33.05,-66.22%,-50.6%,"31 Dec, 2025"
Tega Industries,-67.93%,1617.5,"12,151.9",60.19,8.09,7.96,-56.14%,-0.41%,"31 Dec, 2025"
JK Paper,-68.65%,386.4,"7,006.2",25.44,1.27,-0.78,235.69%,11.51%,"31 Mar, 2026"
InterGlobe Aviation,-70.87%,4502.3,"1,74,084.1",54.2,18.96,-1.15,121.3%,26.5%,"31 Dec, 2025"
Suprajit Engineering,-77.73%,442.75,"6,073.2",43.76,4.41,7.53,-75.41%,4.03%,"31 Dec, 2025"
Mangalore Refinery,-92.85%,151.84,"26,611.5",13.83,1.8,0,-91.94%,-3.08%,"31 Mar, 2026"
Centum Electronics,-94.23%,3210,"4,737.6",-92.17,13.83,0.04,102.66%,2.71%,"31 Mar, 2026"
Alicon Castalloy,-96.29%,654.6,"1,074.3",31.2,1.74,-1.24,140.78%,15.08%,"31 Mar, 2026"
Rolex Rings,-100.35%,144.5,"3,935.2",27.89,3.24,-1.48,-100.31%,11.23%,"31 Mar, 2026"
Varroc Engineering,-114.36%,581.35,"8,882.2",50.38,5.31,0.62,-116.89%,3.63%,"31 Dec, 2025"
Bharat Forge,-129.97%,1917.5,"91,673.5",82.73,9.51,4.66,-20.53%,4.26%,"31 Mar, 2026"
BEML,-137.93%,1821,"15,166.9",60.89,5.46,-12.55,-146.61%,29.1%,"31 Dec, 2025"
Dreamfolks Services,-143.19%,77.12,410.8,10.38,1.26,-0.25,-170%,-73.99%,"31 Dec, 2025"
Praj Industries,-144.33%,394.65,"7,254.2",112.58,5.63,-1.48,-100.01%,-0.02%,"31 Dec, 2025"
DCX Systems,-147.65%,210.7,"2,346.9",176.54,1.62,-2.39,73.16%,-37.23%,"31 Dec, 2025"
Brainbees Solutions,-200.11%,232.35,"12,130.2",-64.99,2.56,5.36,18.88%,15.46%,"31 Dec, 2025"
Indoco Remedies,-208.7%,197,"1,818.4",-19.11,1.91,0.66,27.36%,6.79%,"31 Mar, 2026"
ideaForge Technology,-225.48%,814.7,"3,534.8",-207.5,6.61,-2.86,277.22%,347.12%,"31 Mar, 2026"
Embassy Office Parks REIT,-288.11%,431.5,"40,901.6",-,1.7,-,-212.8%,0.94%,"31 Mar, 2026"
Crompton Greaves,-433.87%,293.75,"18,915",-78.11,5.41,0.54,-643.11%,20.28%,"31 Mar, 2026"
Camlin Fine Sciences,-438.6%,122.79,"2,358.6",-38.48,2.76,-0.54,-151.88%,-0.57%,"31 Dec, 2025"
Restaurant Brands Asia,-526.67%,67.97,"3,961.8",-21.18,5.24,-1.57,1.21%,-1.09%,"31 Mar, 2026"
Orchid Pharma,-688.12%,705,"3,575.7",189.51,2.83,-2.29,-120.38%,7.1%,"31 Dec, 2025"
