Stock,FC Est. Qtr Revenue Surprise %,LTP,Market Cap,PE TTM,PBV Adjusted,PEG TTM,Net Profit QoQ Growth %,Revenue QoQ Growth %,Latest Financial Result
PI Industries,-20.46%,3094.3,"46,946.1",32.35,4.22,-2.22,-23.94%,-26.52%,"31 Dec, 2025"
Capacit'e Infraprojects,-21.16%,248.38,"2,101.4",10.65,1.13,-4.83,1.89%,4.53%,"31 Dec, 2025"
PNC Infratech,-21.31%,214.02,"5,490.5",6.87,0.82,-0.23,-64.43%,6.48%,"31 Dec, 2025"
Zen Technologies,-23.05%,1323.1,"11,946.3",45.43,6.45,1.99,-7.8%,2.45%,"31 Dec, 2025"
Ircon International,-24.18%,148.55,"13,971.4",22.73,2.14,-1.19,-27.4%,7.2%,"31 Dec, 2025"
Aptus Value Housing,-24.78%,242.3,"12,132.8",13.65,2.48,0.53,4.26%,1.76%,"31 Dec, 2025"
JNK,-25.09%,245.76,"1,375.1",30.18,2.56,0.85,39.58%,13.6%,"31 Dec, 2025"
C.E. Info Systems,-26.06%,1075.8,"5,887",44.61,6.89,-13.33,1.4%,-17.66%,"31 Dec, 2025"
Chemplast Sanmar,-26.1%,259.45,"4,102.2",-14.21,2.24,0.06,-133.54%,-19.17%,"31 Dec, 2025"
Inox Wind,-26.87%,95.54,"16,511.6",32.58,2.48,0.5,27.97%,7.89%,"31 Dec, 2025"
OneSource Specialty Pharma,-29.53%,1305,"14,958.1",744.11,2.57,6.59,-945.96%,-22.73%,"31 Dec, 2025"
Sobha,-31.68%,1460,"15,613.2",109.62,3.37,0.82,-78.73%,-33%,"31 Dec, 2025"
Easy Trip Planners,-32.71%,8.73,"3,175",-312.46,3.66,2.76,117.9%,28.16%,"31 Dec, 2025"
Cholamandalam Fin,-36.34%,1701.8,"31,956",13.5,2.12,0.95,13.79%,5.15%,"31 Dec, 2025"
DCX Systems,-44.31%,175.45,"1,954.3",147,1.35,-1.99,73.16%,-37.23%,"31 Dec, 2025"
Bharat Dynamics,-50.39%,1253.2,"45,937.6",79.21,10.71,31.38,-66.22%,-50.6%,"31 Dec, 2025"
Keystone Realtors,-50.93%,433.35,"5,470.2",59.95,1.95,-1.77,-60.47%,-46.69%,"31 Dec, 2025"
ideaForge Technology,-51.91%,411,"1,778.6",-17.31,3.32,0.06,-72.55%,-22.61%,"31 Dec, 2025"
ABREL,-60.51%,1286.8,"14,373",-58.65,3.88,0.07,-362.83%,-17.04%,"31 Dec, 2025"
Godrej Properties,-60.57%,1814.8,"54,662.9",34.55,2.95,5.52,-51.82%,-32.69%,"31 Dec, 2025"
Kolte-Patil Developers,-60.95%,365.7,"3,243",76.54,2.64,0.38,143.14%,91.35%,"31 Dec, 2025"
TARC,-61.62%,152.8,"4,509.1",-51.79,4.25,-1.01,-33.44%,458.57%,"31 Dec, 2025"
Dreamfolks Services,-69.4%,82.49,439.4,11.1,1.35,-0.26,-170%,-73.99%,"31 Dec, 2025"
Signatureglobal,-72.27%,946.1,"13,293.7","4,010.09",19.5,-41.81,3.25%,-15.97%,"31 Dec, 2025"
Allcargo Logistics,-86.16%,8.7,855,-7.34,0.98,0.02,100%,-3.91%,"31 Dec, 2025"
